context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,98.0,0.9670718675627532,56.0,0.0215856012715163
1,95.0,0.8558714605513048,69.0,0.0079960557374199
2,15.0,0.9218975347081771,32.0,0.0165358360391135
3,17.0,1.033657477291652,7.0,0.0033139157505886
4,59.0,1.0458076261320406,80.0,0.0040320104791281
5,31.0,0.759580496516678,58.0,0.0007435191076652
6,17.0,1.0476280524795794,85.0,0.0073302096170149
7,39.0,1.0131297835993966,96.0,0.0235498579802671
8,54.0,1.068789700279484,3.0,0.0026944305712586
9,57.0,0.9637433328129495,58.0,0.0189294417039742
10,31.0,0.8340610379387561,1.0,0.0382310164354745
11,17.0,0.9577829801886026,47.0,0.0079649425271901
12,37.0,0.8827645589551887,73.0,0.0043825256086774
13,17.0,1.1118854918280785,51.0,0.0198458907109685
14,91.0,0.872744301671814,96.0,0.001754540047624
15,59.0,1.0191251389205362,26.0,0.0010230269181405
16,98.0,0.9934564098239766,78.0,0.0158869879399327
17,17.0,1.2465580382531158,78.0,0.0069398174179903
18,98.0,0.968979852320059,38.0,0.004948869662527
19,17.0,1.2442746918833132,96.0,0.0082187355493402
20,49.0,0.8663623931327246,28.0,0.0054954759675382
21,95.0,1.0404952485951002,60.0,0.0101555148407054
22,37.0,1.0457367124393016,55.0,0.0099947280251658
23,17.0,0.988319732759242,5.0,0.0020427892346384
24,95.0,1.0428173686072315,72.0,0.0100528213508497
25,86.0,0.8660572330367575,65.0,0.0061823463032401
26,23.0,1.0479054660767382,64.0,0.0013207362048184
27,95.0,0.99413271545396,21.0,0.0029601974915616
28,51.0,1.0047835651911448,18.0,0.0090710695177438
29,51.0,0.9868011198545796,13.0,0.0006861538559347
30,54.0,1.084725650807718,21.0,0.0086070148423936
31,86.0,0.9232237026815512,55.0,3.834828134684394e-05
32,26.0,1.1280624785246407,69.0,0.0056737324647231
33,72.0,1.0502088327904666,5.0,0.0011236839757508
34,26.0,1.0722584960418882,58.0,0.000264649661627
35,15.0,0.9599262908017382,32.0,0.0002053691948335
36,15.0,0.8813019594135401,75.0,0.0002889805175158
37,83.0,0.8769673220465835,32.0,0.0014249984892742
38,46.0,0.900135937642635,97.0,2.0115356310523858e-05
