context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,94.0,0.792147656130894,49.0,0.0027593006270778
1,0.0,0.7090092400243206,75.0,0.0093379875682991
2,35.0,0.7051544773900185,49.0,0.0116148484173233
3,80.0,0.6300331427121559,92.0,0.0024710678255568
4,35.0,0.7462781478405311,78.0,0.0113244656530267
5,29.0,0.7985798114964326,82.0,0.009719186631105
6,2.0,0.5716050724220489,42.0,0.0007376978478823
7,32.0,0.8039935202242958,19.0,0.0496711190032868
8,31.0,0.6649440691320843,36.0,0.0033441220383302
9,20.0,0.6219303540754817,13.0,0.0098274826654813
10,8.0,0.5067657749012506,33.0,6.130954548670339e-05
11,77.0,0.6816945860017394,18.0,0.0002109027367957
12,29.0,0.7030915019899139,54.0,0.0016177895022524
13,29.0,0.659864098278642,62.0,0.0142566365545805
14,35.0,0.8402781538733086,90.0,0.0014135402881915
15,86.0,0.7233512464224359,41.0,0.0027404536039293
16,86.0,0.7357165118764043,84.0,0.0190425101281021
17,29.0,0.4696352885205819,91.0,0.0001037321070676
18,35.0,0.8999481651568654,83.0,0.0063426203131438
19,16.0,0.5677422686733287,73.0,0.0095445878771074
20,77.0,0.9119577279988892,56.0,0.0006897489632583
21,35.0,0.9274864331476274,66.0,0.0066037002165303
22,86.0,0.6923279416558934,95.0,0.007757108039034
23,29.0,0.7366362073759514,55.0,0.0125285941709587
24,81.0,0.626860393904539,22.0,0.0127923946535478
25,12.0,0.7809329364026665,44.0,0.0007430004405744
26,12.0,0.8365181385088271,8.0,0.0004937538101696
27,29.0,0.7919160892750405,51.0,0.0002787138801844
28,29.0,0.7732628262066402,13.0,0.000986896033063
29,35.0,0.7258479326410832,20.0,0.0038608123289253
30,15.0,0.7789670022198159,97.0,0.0003774891770311
31,29.0,0.8640699894656589,45.0,0.0006438366301005
32,12.0,0.8082157514082486,73.0,0.0005883307179514
33,29.0,0.7491332624877575,48.0,0.0038493972158979
34,29.0,0.7862037118967753,7.0,0.0031136850243012
35,28.0,0.8835616223927757,18.0,0.0007210267352496
36,28.0,0.8266142265901479,20.0,0.0034134149770761
37,28.0,0.6739722120579344,15.0,0.0002539350738885
38,28.0,0.7064810929651507,34.0,0.00089691974213
