context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,98.0,1.0126455917845667,1.0,0.0033601595355582
1,95.0,0.7285036607604283,90.0,0.0109239675618313
2,59.0,0.8744704072532922,67.0,0.0260146827426781
3,17.0,0.9752881594280796,7.0,0.0042443555165091
4,98.0,0.9833993042822156,18.0,0.0004294726845569
5,31.0,0.6752843059746897,88.0,0.005918519085905
6,17.0,0.8771318749303958,77.0,0.0011909692249898
7,54.0,0.92950789988924,5.0,0.0113839893321617
8,54.0,0.964678626108878,68.0,0.0186183086658191
9,17.0,0.8195068203724873,79.0,0.0090294479294655
10,31.0,0.6583844577740111,72.0,0.0083158610231547
11,17.0,1.110307269908434,86.0,0.0045148620245749
12,37.0,0.9201288765197628,48.0,0.0080322498716194
13,37.0,1.081378887832177,89.0,0.0009483514188672
14,98.0,0.950334574778594,96.0,0.0009814405791771
15,39.0,0.9604543888688496,32.0,0.0120450997518939
16,98.0,0.993038854265646,56.0,0.0025470305744301
17,17.0,1.2657177587508894,5.0,0.0116760781106684
18,22.0,0.8820803908076917,8.0,0.021189176788444
19,17.0,1.0334497530276583,47.0,0.0034142868005207
20,83.0,0.8739673164999008,1.0,0.0041012776652145
21,95.0,0.922530265005631,79.0,0.0051468070429859
22,37.0,1.0551216732895052,55.0,0.0158574762068354
23,17.0,0.7857209327336631,86.0,0.0009058186376429
24,95.0,0.9642256982685508,23.0,0.0110098622931179
25,95.0,0.8415722451748594,85.0,0.001749801489327
26,23.0,0.9204096654640516,57.0,0.0017577796452946
27,26.0,0.9632412772803264,8.0,0.0003133827126466
28,51.0,0.9590952595046376,5.0,0.0002996748351686
29,86.0,0.9079391055811704,97.0,0.0014026847030484
30,25.0,1.0236463082557052,94.0,0.0001395739437001
31,26.0,0.8989426722702839,65.0,0.0092336312711373
32,26.0,0.908063805861442,83.0,0.0033073737307799
33,72.0,1.018835364755267,65.0,0.002523285782926
34,26.0,1.0830091706660097,97.0,0.0074336008967152
35,15.0,0.8674046783482325,8.0,0.0011218541007325
36,93.0,0.8515545356895483,4.0,0.0011794703680222
37,61.0,0.8092492088125609,17.0,0.0003730625932537
38,46.0,0.8861568006764958,81.0,0.0002348905981485
