0,0,[ 0.1992 -0.066  -0.4044  0.316  -0.1992  0.066   0.4044 -0.316 ]
0,1,"[0.14578497772083118, -0.03718430163404311, -0.4460686603328925, 0.3087896607539402, -0.14578497772083118, 0.03718430163404311, 0.4460686603328925, -0.3087896607539402]"
0,2,"[0.1810113563412953, -0.06172875182378565, -0.4215439278158, 0.31303339510396166, -0.1810113563412953, 0.06172875182378565, 0.4215439278158, -0.31303339510396166]"
0,3,[ 0.1877 -0.064  -0.415   0.3141 -0.1877  0.064   0.415  -0.3141]
1,0,[-0.0505 -0.0699  0.393  -0.1837  0.0505  0.0699 -0.393   0.1837]
1,1,"[-0.15669305670474135, -0.05249941096925096, 0.45559192553485434, -0.2543498153260773, 0.15669305670474135, 0.05249941096925096, -0.45559192553485434, 0.2543498153260773]"
1,2,"[-0.10495950863314435, -0.06447463690509403, 0.40821051204660985, -0.20083664529314163, 0.10495950863314435, 0.06447463690509403, -0.40821051204660985, 0.20083664529314163]"
1,3,[-0.0653 -0.0694  0.3958 -0.1866  0.0653  0.0694 -0.3958  0.1866]
2,0,[-0.5624  0.024  -0.2562  0.1963  0.5624 -0.024   0.2562 -0.1963]
2,1,"[-0.4934587103238768, -0.11755904929873622, 0.012159222638882132, 0.22883473499509993, 0.4934587103238768, 0.11755904929873622, -0.012159222638882132, -0.22883473499509993]"
2,2,"[-0.5236398480437109, -0.06154379031394087, -0.09763990312653105, 0.2106718950733891, 0.5236398480437109, 0.06154379031394087, 0.09763990312653105, -0.2106718950733891]"
2,3,[-0.534  -0.033  -0.1357  0.2074  0.534   0.033   0.1357 -0.2074]
3,0,[-0.0697  0.2533  0.1717 -0.09    0.0697 -0.2533 -0.1717  0.09  ]
3,1,"[-0.0060438801361385975, -0.20987772729125315, 0.11465538471753986, -0.036208474394595555, 0.0060438801361385975, 0.20987772729125315, -0.11465538471753986, 0.036208474394595555]"
3,2,"[-0.04089632768718168, -0.001659830907943893, 0.14624593699550656, -0.05832322229187808, 0.04089632768718168, 0.001659830907943893, -0.14624593699550656, 0.05832322229187808]"
3,3,[-0.0523  0.1045  0.1555 -0.0796  0.0523 -0.1045 -0.1555  0.0796]
