context,p_value,agent,satisfaction
0,0,32.0,0.36539860681500813
0,0,65.0,0.20002080021415217
0,0,3.0,0.21823698920582482
0,0,63.0,0.21994381880013045
0,1,32.0,0.25432050186385524
0,1,65.0,0.08894269526299933
0,1,3.0,0.3293150941569777
0,1,63.0,0.33102192375128325
0,2,32.0,0.2777887874334193
0,2,65.0,0.11241098083256335
0,2,3.0,0.30584680858741364
0,2,63.0,0.30755363818171927
0,3,32.0,0.3632526386766096
0,3,65.0,0.19787483207575368
0,3,3.0,0.2203829573442233
0,3,63.0,0.22208978693852893
1,0,88.0,0.19824796737210867
1,0,75.0,0.009337987568299178
1,0,37.0,0.24986645218833592
1,0,87.0,0.018706788404517366
1,1,88.0,0.21677998673046472
1,1,75.0,0.009194031790056859
1,1,37.0,0.26839847154669194
1,1,87.0,0.00017476904616132993
1,2,88.0,0.19767142979152186
1,2,75.0,0.00991452514888598
1,2,37.0,0.24928991460774913
1,2,87.0,0.01928332598510417
1,3,88.0,0.19856994574273093
1,3,75.0,0.009016009197676922
1,3,37.0,0.2501884305589582
1,3,87.0,0.01838481003389511
2,0,97.0,0.11646276634096618
2,0,85.0,0.047137710603212785
2,0,59.0,0.2265603234902936
2,0,58.0,0.1704972564743227
2,1,97.0,0.06001537245009843
2,1,85.0,0.009309683287654972
2,1,59.0,0.28300771738116137
2,1,58.0,0.22694465036519046
2,2,97.0,0.10696100341270315
2,2,85.0,0.037635947674949745
2,2,59.0,0.23606208641855664
2,2,58.0,0.17999901940258575
2,3,97.0,0.11230879324190918
2,3,85.0,0.04298373750415578
2,3,59.0,0.2307142965893506
2,3,58.0,0.1746512295733797
3,0,25.0,0.2369729398042364
3,0,17.0,0.053420844547795665
3,0,70.0,0.03184670879133428
3,0,28.0,0.18448401652423904
3,1,25.0,0.22968650920843936
3,1,17.0,0.046134413951998646
3,1,70.0,0.0391331393871313
3,1,28.0,0.19177044712003605
3,2,25.0,0.2367410646551559
3,2,17.0,0.05318896939871519
3,2,70.0,0.032078583940414754
3,2,28.0,0.18471589167331953
3,3,25.0,0.23651464931994665
3,3,17.0,0.052962554063505946
3,3,70.0,0.032304999275624
3,3,28.0,0.18494230700852876
4,0,43.0,0.17872076789662183
4,0,36.0,0.13477064790191168
4,0,21.0,0.09337521302930851
4,0,62.0,0.2664927669383362
4,1,43.0,0.15505301462589877
4,1,36.0,0.19900313462060892
4,1,21.0,0.2403985694932121
4,1,62.0,0.6002665494608568
4,2,43.0,0.0025221963509301087
4,2,36.0,0.04647231634564026
4,2,21.0,0.08786775121824342
4,2,62.0,0.4477357311858881
4,3,43.0,0.07455601396396781
4,3,36.0,0.030605893969257662
4,3,21.0,0.010789540903345489
4,3,62.0,0.3706575208709902
5,0,24.0,0.01515786193811379
5,0,95.0,0.12297422154124571
5,0,76.0,0.15618510456360912
5,0,10.0,0.024534719008056052
5,1,24.0,0.04815231823981485
5,1,95.0,0.15596867784294677
5,1,76.0,0.12319064826190806
5,1,10.0,0.05752917530975711
5,2,24.0,0.03880075139849126
5,2,95.0,0.1466171110016232
5,2,76.0,0.13254221510323166
5,2,10.0,0.048177608468433525
5,3,24.0,0.01622886655573036
5,3,95.0,0.12404522615886229
5,3,76.0,0.15511409994599257
5,3,10.0,0.02560572362567262
6,0,72.0,0.3491825049404242
6,0,42.0,0.15972261941832575
6,0,20.0,0.29985101725827934
6,0,93.0,0.18906319423486306
6,1,72.0,0.17450702287984135
6,1,42.0,0.014952862642257089
6,1,20.0,0.1251755351976965
6,1,93.0,0.014387712174280216
6,2,72.0,0.21494103447536878
6,2,42.0,0.025481148953270336
6,2,20.0,0.16560954679322393
6,2,93.0,0.05482172376980764
6,3,72.0,0.2603621190133151
6,3,42.0,0.07090223349121665
6,3,20.0,0.21103063133117023
6,3,93.0,0.10024280830775395
7,0,19.0,0.1937478140642795
7,0,82.0,0.11255199998628278
7,0,13.0,0.16312052587141246
7,0,45.0,0.1824620895706971
7,1,19.0,0.25741849593621
7,1,82.0,0.17622268185821333
7,1,13.0,0.09944984399948192
7,1,45.0,0.24613277144262763
7,2,19.0,0.23042541232454036
7,2,82.0,0.14922959824654364
7,2,13.0,0.12644292761115158
7,2,45.0,0.21913968783095797
7,3,19.0,0.20942607658342838
7,3,82.0,0.12823026250543168
7,3,13.0,0.14744226335226357
7,3,45.0,0.19814035208984598
8,0,15.0,0.05313502168563278
8,0,12.0,0.12062398583317706
8,0,92.0,0.05363228023714839
8,0,7.0,0.2508302281026473
8,1,15.0,0.21315869321637448
8,1,12.0,0.1456697290688302
8,1,92.0,0.21266143466485887
8,1,7.0,0.015463486799359966
8,2,15.0,0.13807572521365524
8,2,12.0,0.07058676106611098
8,2,92.0,0.13757846666213963
8,2,7.0,0.05961948120335926
8,3,15.0,0.023869520502202465
8,3,12.0,0.043619443645341816
8,3,92.0,0.023372261950686854
8,3,7.0,0.17382568591481207
9,0,23.0,0.3265209948015627
9,0,14.0,0.1633713380018655
9,0,66.0,0.2326211662281954
9,0,96.0,0.030319931744714812
9,1,23.0,0.2469667114308581
9,1,14.0,0.08381705463116093
9,1,66.0,0.15306688285749082
9,1,96.0,0.04923435162598977
9,2,23.0,0.25618922109248804
9,2,14.0,0.09303956429279084
9,2,66.0,0.16228939251912072
9,2,96.0,0.04001184196435986
