0,0,[ 0.3231 -0.2    -0.1751  0.0854 -0.3231  0.2     0.1751 -0.0854]
0,1,"[0.23930502654439958, 0.25359951667440067, 0.013066464344556532, 0.16338652119892869, -0.23930502654439958, -0.25359951667440067, -0.013066464344556532, -0.16338652119892869]"
0,2,"[0.27430150421707994, 0.04764084500630265, -0.0692469405643486, 0.11323504567692434, -0.27430150421707994, -0.04764084500630265, 0.0692469405643486, -0.11323504567692434]"
0,3,"[0.24180211589686956, 0.18741162505499656, -0.0032323130772133166, 0.1364332296777857, -0.24180211589686956, -0.18741162505499656, 0.0032323130772133166, -0.1364332296777857]"
1,0,[ 0.1713  0.2458 -0.1662 -0.2328 -0.1713 -0.2458  0.1662  0.2328]
1,1,"[0.4334107425377837, 0.1261647881078036, -0.05638875095793687, -0.0366109187281483, -0.4334107425377837, -0.1261647881078036, 0.05638875095793687, 0.0366109187281483]"
1,2,"[0.31749272182688826, 0.20065014356588462, -0.14356262239069909, -0.12211690588299293, -0.31749272182688826, -0.20065014356588462, 0.14356262239069909, 0.12211690588299293]"
1,3,[ 0.2438  0.2145 -0.153  -0.1824 -0.2438 -0.2145  0.153   0.1824]
2,0,[-0.063  -0.0423 -0.3691  0.0621  0.063   0.0423  0.3691 -0.0621]
2,1,"[-0.07552209288288621, -0.20668327486449456, -0.0004727070065509493, 0.09187528584858236, 0.07552209288288621, 0.20668327486449456, 0.0004727070065509493, -0.09187528584858236]"
2,2,"[-0.0689062377614765, -0.11839435974212414, -0.2140574433871265, 0.06922719928250728, 0.0689062377614765, 0.11839435974212414, 0.2140574433871265, -0.06922719928250728]"
2,3,[-0.0668 -0.0875 -0.2793  0.0675  0.0668  0.0875  0.2793 -0.0675]
3,0,[ 0.1593 -0.2445 -0.069   0.2919 -0.1593  0.2445  0.069  -0.2919]
3,1,"[-0.01186626028096393, -0.05059268332219634, -0.12262827255761431, 0.2613054664571345, 0.01186626028096393, 0.05059268332219634, 0.12262827255761431, -0.2613054664571345]"
3,2,"[0.04415954081949526, -0.139176161261367, -0.09589775982756168, 0.27087169246568016, -0.04415954081949526, 0.139176161261367, 0.09589775982756168, -0.27087169246568016]"
3,3,[ 0.1347 -0.2251 -0.0771  0.2866 -0.1347  0.2251  0.0771 -0.2866]
4,0,[-0.2938 -0.2433 -0.0516 -0.1473  0.2938  0.2433  0.0516  0.1473]
4,1,"[-0.36661160338122606, -0.04448568005640742, -0.15040161407000996, -0.21333928581386347, 0.36661160338122606, 0.04448568005640742, 0.15040161407000996, 0.21333928581386347]"
4,2,"[-0.3270310823624197, -0.17001555380328315, -0.11480998285954008, -0.1749500551263774, 0.3270310823624197, 0.17001555380328315, 0.11480998285954008, 0.1749500551263774]"
4,3,[-0.3138 -0.202  -0.0766 -0.1629  0.3138  0.202   0.0766  0.1629]
5,0,[-0.1362 -0.1256  0.404   0.0952  0.1362  0.1256 -0.404  -0.0952]
5,1,"[-0.21457228823839025, -0.18646577763799477, 0.3365924584093057, 0.22396647442038609, 0.21457228823839025, 0.18646577763799477, -0.3365924584093057, -0.22396647442038609]"
5,2,"[-0.1997540108486986, -0.16368657320639723, 0.36293843686030614, 0.19504056769562775, 0.1997540108486986, 0.16368657320639723, -0.36293843686030614, -0.19504056769562775]"
5,3,[-0.1603 -0.1376  0.3868  0.1291  0.1603  0.1376 -0.3868 -0.1291]
6,0,[ 0.6488 -0.0519  0.1606  0.0285 -0.6488  0.0519 -0.1606 -0.0285]
6,1,"[0.5652958601735071, 0.13747063127286138, 0.16510117228876967, 0.10234988345482463, -0.5652958601735071, -0.13747063127286138, -0.16510117228876967, -0.10234988345482463]"
6,2,"[0.5985866236592943, 0.08619714425634606, 0.16262057846649114, 0.06373681931769942, -0.5985866236592943, -0.08619714425634606, -0.16262057846649114, -0.06373681931769942]"
6,3,[ 0.6255  0.0007  0.1615  0.0415 -0.6255 -0.0007 -0.1615 -0.0415]
7,0,[-0.1918  0.2285 -0.3332  0.2035  0.1918 -0.2285  0.3332 -0.2035]
7,1,"[-0.16275720650214773, 0.2030052273376904, -0.08045647264093346, 0.37214767419697325, 0.16275720650214773, -0.2030052273376904, 0.08045647264093346, -0.37214767419697325]"
7,2,"[-0.18523538619517618, 0.22503974186916595, -0.2009081637317243, 0.2970398444478848, 0.18523538619517618, -0.22503974186916595, 0.2009081637317243, -0.2970398444478848]"
7,3,[-0.1875  0.2268 -0.2828  0.2372  0.1875 -0.2268  0.2828 -0.2372]
8,0,[-0.0663  0.1244  0.2786 -0.0793  0.0663 -0.1244 -0.2786  0.0793]
8,1,"[0.0352859635485194, 0.09045714627580476, 0.12876980228850046, -0.1250801115629043, -0.0352859635485194, -0.09045714627580476, -0.12876980228850046, 0.1250801115629043]"
8,2,"[-0.020183622363613766, 0.10401805241501066, 0.21440006252998356, -0.10306199700628517, 0.020183622363613766, -0.10401805241501066, -0.21440006252998356, 0.10306199700628517]"
8,3,[-0.0575  0.1207  0.27   -0.0828  0.0575 -0.1207 -0.27    0.0828]
9,0,[-0.3292 -0.2194  0.0981 -0.1863  0.3292  0.2194 -0.0981  0.1863]
9,1,"[0.051734274201515586, -0.10619406195574412, 0.04819421961747337, -0.14838738259324405, -0.051734274201515586, 0.10619406195574412, -0.04819421961747337, 0.14838738259324405]"
9,2,"[-0.005587987746033555, -0.10782600447308707, 0.06666123530652948, -0.1641370382019891, 0.005587987746033555, 0.10782600447308707, -0.06666123530652948, 0.1641370382019891]"
9,3,[-0.3058 -0.2103  0.0939 -0.1866  0.3058  0.2103 -0.0939  0.1866]
10,0,[-0.1211  0.2921  0.016  -0.1807  0.1211 -0.2921 -0.016   0.1807]
10,1,"[0.027741969799525062, 0.18859927161211776, 0.13829626685600419, -0.22543085842417068, -0.027741969799525062, -0.18859927161211776, -0.13829626685600419, 0.22543085842417068]"
