context,p,decision
0,0,"[np.float64(0.09626607387374102), np.float64(-0.07002548188745447)]"
0,1,"[0.13051407804729864, 0.21021894861778456]"
0,2,"[0.11323207127160126, 0.07839406443435376]"
0,3,"[0.12479393534494915, 0.16306855899885972]"
1,0,"[np.float64(0.049376981691976), np.float64(0.07290859725637394)]"
1,1,"[0.23509433336614924, 0.06025803624554856]"
1,2,"[0.14024328797911562, 0.0765646568731414]"
1,3,"[np.float64(0.09507080250377678), np.float64(0.06572841156003989)]"
2,0,"[np.float64(-0.21778651716942415), np.float64(0.010472965376380317)]"
2,1,"[-0.03941588371473531, -0.06304695171308086]"
2,2,"[-0.14052234391143514, -0.02582381973722392]"
2,3,"[np.float64(-0.172910504303925), np.float64(-0.010083955274417244)]"
3,0,"[np.float64(0.04526175020246352), np.float64(0.023423941319761443)]"
3,1,"[-0.07180547692306921, 0.11819199642162022]"
3,2,"[-0.028978858587701113, 0.074952224502168]"
3,3,"[np.float64(0.02718305218541603), np.float64(0.03470737863355278)]"
4,0,"[np.float64(-0.1743308554921685), np.float64(-0.19593677995957479)]"
4,1,"[-0.27378005808802597, -0.11698437080020405]"
4,2,"[-0.22938426008895818, -0.17228600841327732]"
4,3,"[np.float64(-0.2013414534625654), np.float64(-0.18342029555254646)]"
5,0,"[np.float64(0.15809516167046966), np.float64(-0.005320368216126289)]"
5,1,"[0.08923709908016436, 0.039769974543258285]"
5,2,"[0.10866616471765632, 0.0329371565555413]"
5,3,"[np.float64(0.13873331850438209), np.float64(0.008199063599139508)]"
6,0,"[np.float64(0.3887224637819634), np.float64(-0.009072152335722249)]"
6,1,"[0.34359634951603907, 0.11801446945737606]"
6,2,"[0.36143524437385394, 0.07397945644067314]"
6,3,"[np.float64(0.37556852428292004), np.float64(0.02267108150832817)]"
7,0,"[np.float64(-0.2647981142095402), np.float64(0.21557969435377689)]"
7,1,"[-0.12247415266981485, 0.28579397018966657]"
7,2,"[-0.19310571362575252, 0.26119570599282993]"
7,3,"[np.float64(-0.23602719276210865), np.float64(0.23208242072673868)]"
8,0,"[np.float64(0.11654898674952714), np.float64(0.016382823425310306)]"
8,1,"[0.07854855477116227, -0.00928950945429919]"
8,2,"[0.09584235122840827, 0.001595480459557222]"
8,3,"[np.float64(0.1120162082224792), np.float64(0.01535597279237217)]"
9,0,"[np.float64(-0.0956109935422593), np.float64(-0.2012802508470562)]"
9,1,"[0.04976266729910887, -0.12969331605746062]"
9,2,"[0.034320221884132494, -0.13893045713840402]"
9,3,"[np.float64(-0.08635172570081057), np.float64(-0.19731243148244876)]"
10,0,"[np.float64(-0.056897583890106296), np.float64(0.07081538827877644)]"
10,1,"[0.08189053329179709, -0.01418919867710397]"
10,2,"[-0.0024967500025642325, 0.029993958932152023]"
10,3,"[np.float64(-0.012849859680624638), np.float64(0.03802093472572579)]"
11,0,"[np.float64(-0.0782309952548069), np.float64(-0.15910002460244277)]"
11,1,"[0.008392758671795807, -0.17266723457029237]"
11,2,"[-0.02005909079344576, -0.17498629446105263]"
11,3,"[np.float64(-0.05358487116823449), np.float64(-0.1629531589492848)]"
12,0,"[np.float64(-0.24865273158121595), np.float64(-0.02713306683630891)]"
12,1,"[0.04862529042392057, -0.01026433683022754]"
12,2,"[-0.09663691245119796, -0.014807565320610082]"
12,3,"[np.float64(-0.20133723609888893), np.float64(-0.019604135235031933)]"
13,0,"[np.float64(-0.48711973253799135), np.float64(-0.3636490560108394)]"
13,1,"[-0.410205955923296, -0.33483358191425505]"
13,2,"[-0.44900490914706204, -0.35080293658798734]"
13,3,"[np.float64(-0.4761589630428311), np.float64(-0.3614402578805126)]"
14,0,"[np.float64(-0.06713857798831936), np.float64(0.01757850355807663)]"
14,1,"[-0.02161319762708684, 0.2764396758893541]"
14,2,"[-0.03516430251295433, 0.18719922351178908]"
14,3,"[np.float64(-0.053164307024041076), np.float64(0.08188495674087269)]"
15,0,"[np.float64(0.15667047184201333), np.float64(-0.05735524287249974)]"
15,1,"[0.10756740632979744, -0.0930786518119604]"
15,2,"[0.13961569757771208, -0.05823561774466442]"
15,3,"[np.float64(0.15534728896942712), np.float64(-0.05432619169576531)]"
16,0,"[np.float64(-0.041156960944327386), np.float64(0.15554969054291776)]"
16,1,"[-0.1709102202975284, 0.15127246465665495]"
16,2,"[-0.1088629327282852, 0.15390010776952767]"
16,3,"[np.float64(-0.07810243900626515), np.float64(0.15447802881920214)]"
17,0,"[np.float64(-0.025073653103879403), np.float64(0.09633069992867377)]"
17,1,"[-0.11211358338685287, 0.1291220281883892]"
17,2,"[-0.04910511375962997, 0.11422214119804966]"
17,3,"[np.float64(-0.02454118897938133), np.float64(0.10200836194007885)]"
18,0,"[np.float64(-0.048524899160877225), np.float64(-0.16314365138810788)]"
18,1,"[0.08824628404798718, -0.1647625448363618]"
18,2,"[0.05405124935176444, -0.15888548545379302]"
18,3,"[np.float64(-0.025552559959659923), np.float64(-0.16359638085138983)]"
19,0,"[np.float64(0.1265165838127977), np.float64(0.3663299392001642)]"
19,1,"[0.18315976616663365, 0.1835400820091152]"
19,2,"[0.14273453859470603, 0.28375657295679757]"
19,3,"[np.float64(0.13393156774224865), np.float64(0.3519034570116208)]"
20,0,"[np.float64(-0.048683175020393835), np.float64(0.07045943191073004)]"
20,1,"[-0.41780691358244226, -0.08733454142480668]"
20,2,"[-0.22136157195682418, 0.008888869083487363]"
20,3,"[np.float64(-0.1342159931829329), np.float64(0.03419557893672583)]"
21,0,"[np.float64(-0.23334672126155628), np.float64(-0.1678981931965624)]"
21,1,"[-0.021371094146508084, -0.3496958528725642]"
21,2,"[-0.09804904056514896, -0.2877574943573762]"
21,3,"[np.float64(-0.17526663576278148), np.float64(-0.22642070873367426)]"
22,0,"[np.float64(0.08233161908934758), np.float64(-0.12628038055777974)]"
22,1,"[0.09156399645152596, -0.29210983309651795]"
22,2,"[0.08536420159736734, -0.18754191009214533]"
22,3,"[np.float64(0.08682040969541577), np.float64(-0.16727423101508795)]"
23,0,"[np.float64(-0.08737316692008912), np.float64(-0.2231946853626432)]"
23,1,"[-0.19336748920880537, -0.2512858881560822]"
23,2,"[-0.1326748876214383, -0.24254289189676148]"
23,3,"[np.float64(-0.115948638607417), np.float64(-0.23583140075308356)]"
24,0,"[np.float64(-0.10347448790459063), np.float64(-0.0010583051765577361)]"
24,1,"[0.12610023762888276, -0.05011378387902535]"
24,2,"[0.053674851688149894, -0.03599682360590743]"
24,3,"[np.float64(-0.08026110801107417), np.float64(-0.006927678690656851)]"
25,0,"[np.float64(-0.1486451134462059), np.float64(-0.1865746202207299)]"
25,1,"[0.02887000057639686, -0.11498676375925007]"
25,2,"[-0.03335645363756127, -0.1613450078562389]"
25,3,"[0.015884171619634364, -0.13244548957292818]"
26,0,"[np.float64(0.17181703092321848), np.float64(0.04118126186345496)]"
26,1,"[0.1497617597138004, -0.023419923071065423]"
26,2,"[0.12552763460323363, -0.03607717902579485]"
26,3,"[0.12544756054421774, -0.034551581724926485]"
27,0,"[np.float64(0.13807630976199106), np.float64(0.04938753402639948)]"
27,1,"[-0.019856496362580557, -0.1444273796667217]"
27,2,"[0.07801659439740578, -0.021157360820662163]"
27,3,"[np.float64(0.08782560934697663), np.float64(-0.00752971647471324)]"
28,0,"[np.float64(0.023505941810106117), np.float64(-0.00421868217454973)]"
28,1,"[0.12467514112476552, 0.040612829274799]"
28,2,"[0.04903082992297558, 0.04969471059986052]"
28,3,"[np.float64(0.034163236218655545), np.float64(0.032862804694590755)]"
29,0,"[np.float64(0.026477454277176835), np.float64(0.035905200442983384)]"
29,1,"[0.10968988266989363, 0.15158204947475504]"
