context,p_value,agent,satisfaction
0,0,6.0,0.5921444614936837
0,0,97.0,0.47009668202551536
0,0,98.0,0.39318019422419026
0,0,15.0,0.6405996558218239
0,1,6.0,0.5772505351751408
0,1,97.0,0.4552027557069724
0,1,98.0,0.40807412054273323
0,1,15.0,0.625705729503281
0,2,6.0,0.5830145061456665
0,2,97.0,0.4609667266774981
0,2,98.0,0.4023101495722075
0,2,15.0,0.6314697004738067
0,3,6.0,0.5871650758649323
0,3,97.0,0.4651172963967639
0,3,98.0,0.3981595798529417
0,3,15.0,0.6356202701930724
1,0,64.0,0.17574636762109985
1,0,49.0,0.6006403363521975
1,0,68.0,0.010307774322990428
1,0,75.0,0.16568041000033687
1,1,64.0,0.393829637478621
1,1,49.0,0.38255706649467636
1,1,68.0,0.22839104418051154
1,1,75.0,0.383763679857858
1,2,64.0,0.36220400794458435
1,2,49.0,0.414182696028713
1,2,68.0,0.19676541464647493
1,2,75.0,0.3521380503238214
1,3,64.0,0.21231780940343073
1,3,49.0,0.5640688945698666
1,3,68.0,0.04687921610532131
1,3,75.0,0.20225185178266775
2,0,13.0,0.21825706470385953
2,0,86.0,0.5998442190184274
2,0,27.0,0.5179101109185583
2,0,83.0,0.13675501786406952
2,1,13.0,0.1443111749648117
2,1,86.0,0.23727597934975625
2,1,27.0,0.15534187124988708
2,1,83.0,0.49932325753274076
2,2,13.0,0.028305124772193213
2,2,86.0,0.4098922790867611
2,2,27.0,0.32795817098689195
2,2,83.0,0.32670695779573583
2,3,13.0,0.2062288685799346
2,3,86.0,0.5878160228945025
2,3,27.0,0.5058819147946334
2,3,83.0,0.14878321398799443
3,0,85.0,0.012232070934932268
3,0,72.0,0.07955773419878853
3,0,99.0,0.12982107686673489
3,0,59.0,0.519314225955177
3,1,85.0,0.040393778863331634
3,1,72.0,0.13218358399705243
3,1,99.0,0.07719522706847098
3,1,59.0,0.5719400757534409
3,2,85.0,0.015225285959348314
3,2,72.0,0.10701509109306911
3,2,99.0,0.1023637199724543
3,2,59.0,0.5467715828494575
3,3,85.0,0.005302553542839497
3,3,72.0,0.0864872515908813
3,3,99.0,0.12289155947464211
3,3,59.0,0.5262437433472698
4,0,26.0,0.09746559963034404
4,0,33.0,0.5343141628922901
4,0,44.0,0.3579144154587203
4,0,67.0,0.38849811211483554
4,1,26.0,0.08013194921016373
4,1,33.0,0.5169805124721096
4,1,44.0,0.34058076503854
4,1,67.0,0.3711644616946552
4,2,26.0,0.09362310341268112
4,2,33.0,0.5304716666746271
4,2,44.0,0.3540719192410574
4,2,67.0,0.3846556158971727
4,3,26.0,0.09173359489820684
4,3,33.0,0.5285821581601529
4,3,44.0,0.35218241072658313
4,3,67.0,0.38276610738269834
5,0,21.0,0.4148315503937545
5,0,48.0,0.2833208630693244
5,0,62.0,0.3774697543488667
5,0,1.0,0.30477393718495766
5,1,21.0,0.015446917775388869
5,1,48.0,0.11606376954904127
5,1,62.0,0.02191487826949899
5,1,1.0,0.09461069543340801
5,2,21.0,0.21308118573156004
5,2,48.0,0.0815704984071299
5,2,62.0,0.17571938968667217
5,2,1.0,0.10302357252276315
