0,0,[-0.0159  0.1486  0.5735 -0.2142  0.0159 -0.1486 -0.5735  0.2142]
0,1,"[0.0024093420864644056, 0.26263506305950635, 0.572158174631517, -0.026315311038925385, -0.0024093420864644056, -0.26263506305950635, -0.572158174631517, 0.026315311038925385]"
0,2,"[-0.009155174141737978, 0.22421838713303988, 0.572653568692182, -0.034184230835882276, 0.009155174141737978, -0.22421838713303988, -0.572653568692182, 0.034184230835882276]"
0,3,"[-0.012860294685929669, 0.19052162494724556, 0.5730147188543644, -0.09340689561105439, 0.012860294685929669, -0.19052162494724556, -0.5730147188543644, 0.09340689561105439]"
1,0,[ 0.3559  0.3365 -0.4083  0.082  -0.3559 -0.3365  0.4083 -0.082 ]
1,1,"[-0.13591711836803388, 0.337302209552811, -0.3328702438989442, -0.18611694221833427, 0.13591711836803388, -0.337302209552811, 0.3328702438989442, 0.18611694221833427]"
1,2,"[-0.0686440450217728, 0.33722192280446367, -0.3392243664564869, -0.15936914875125371, 0.0686440450217728, -0.33722192280446367, 0.3392243664564869, 0.15936914875125371]"
1,3,[ 0.2649  0.3367 -0.3872  0.0201 -0.2649 -0.3367  0.3872 -0.0201]
2,0,[ 0.2827  0.1223  0.6103  0.2814 -0.2827 -0.1223 -0.6103 -0.2814]
2,1,"[-0.07222693307443358, 0.32513832006446436, 0.2034087035070108, 0.37912643178317357, 0.07222693307443358, -0.32513832006446436, -0.2034087035070108, -0.37912643178317357]"
2,2,"[0.11646426084410898, 0.23390748083413712, 0.3861331066380258, 0.3129359887406685, -0.11646426084410898, -0.23390748083413712, -0.3861331066380258, -0.3129359887406685]"
2,3,[ 0.2604  0.1368  0.5969  0.2882 -0.2604 -0.1368 -0.5969 -0.2882]
3,0,[ 0.0747  0.5235  0.151   0.3457 -0.0747 -0.5235 -0.151  -0.3457]
3,1,"[-0.002839700284370683, 0.5309581001927428, 0.13695092154175742, -0.07232446427030592, 0.002839700284370683, -0.5309581001927428, -0.13695092154175742, 0.07232446427030592]"
3,2,"[0.03178477212128857, 0.5257271233459383, 0.1469073202964272, 0.008461285261341147, -0.03178477212128857, -0.5257271233459383, -0.1469073202964272, -0.008461285261341147]"
3,3,[ 0.0636  0.5242  0.1506  0.3278 -0.0636 -0.5242 -0.1506 -0.3278]
4,0,[ 0.1236  0.0784  0.4658 -0.1987 -0.1236 -0.0784 -0.4658  0.1987]
4,1,"[0.2991790161340843, 0.07640475414778508, 0.20735954606863685, 0.11437062512109897, -0.2991790161340843, -0.07640475414778508, -0.20735954606863685, -0.11437062512109897]"
4,2,"[0.2376733987073238, 0.07746080436772503, 0.3255856335537659, 0.02324860405611311, -0.2376733987073238, -0.07746080436772503, -0.3255856335537659, -0.02324860405611311]"
4,3,[ 0.1709  0.078   0.4036 -0.1083 -0.1709 -0.078  -0.4036  0.1083]
5,0,[ 0.2954 -0.2934  0.2289 -0.2359 -0.2954  0.2934 -0.2289  0.2359]
5,1,"[-0.051789590839967356, -0.08676846123231034, -0.3298297888583238, -0.30398292641490554, 0.051789590839967356, 0.08676846123231034, 0.3298297888583238, 0.30398292641490554]"
5,2,"[0.13140330168090217, -0.1946183438730031, -0.0871202925626117, -0.27107311294246106, -0.13140330168090217, 0.1946183438730031, 0.0871202925626117, 0.27107311294246106]"
5,3,"[0.03206029426756244, -0.12645042136494666, -0.21203839293391546, -0.2944437797283194, -0.03206029426756244, 0.12645042136494666, 0.21203839293391546, 0.2944437797283194]"
6,0,[ 0.0268 -0.1673 -0.3923 -0.1495 -0.0268  0.1673  0.3923  0.1495]
6,1,"[0.0024505751391482437, 0.053516674812840045, -0.05844347608261818, -0.12457541015772813, -0.0024505751391482437, -0.053516674812840045, 0.05844347608261818, 0.12457541015772813]"
6,2,"[0.023210722727911835, -0.029042518905261022, -0.18270597333308733, -0.14509801259568553, -0.023210722727911835, 0.029042518905261022, 0.18270597333308733, 0.14509801259568553]"
6,3,[ 0.0258 -0.1096 -0.3308 -0.1478 -0.0258  0.1096  0.3308  0.1478]
7,0,[ 0.3296 -0.5189 -0.4852 -0.3504 -0.3296  0.5189  0.4852  0.3504]
7,1,"[0.10641010725882817, -0.4558856582371611, -0.4560859920521397, -0.42621080342694834, -0.10641010725882817, 0.4558856582371611, 0.4560859920521397, 0.42621080342694834]"
7,2,"[0.17110978482545808, -0.47572123872538363, -0.462019373459305, -0.42249914064759286, -0.17110978482545808, 0.47572123872538363, 0.462019373459305, 0.42249914064759286]"
7,3,"[0.178438359657502, -0.4777910398739235, -0.4630198269074786, -0.42119995817000644, -0.178438359657502, 0.4777910398739235, 0.4630198269074786, 0.42119995817000644]"
8,0,[-0.2723 -0.1499  0.2766  0.3073  0.2723  0.1499 -0.2766 -0.3073]
8,1,"[-0.29563156773373805, -0.37036343148205186, -0.05432362148425384, 0.33117315245423923, 0.29563156773373805, 0.37036343148205186, 0.05432362148425384, -0.33117315245423923]"
8,2,"[-0.282893980709524, -0.2806748423513557, 0.03948686902070558, 0.312160417676673, 0.282893980709524, 0.2806748423513557, -0.03948686902070558, -0.312160417676673]"
8,3,[-0.2771 -0.2083  0.1852  0.3095  0.2771  0.2083 -0.1852 -0.3095]
9,0,[ 0.4214 -0.5999  0.3523 -0.1518 -0.4214  0.5999 -0.3523  0.1518]
9,1,"[0.31925427065891343, -0.0063163391243017475, 0.38146385374338393, -0.05052363702161348, -0.31925427065891343, 0.0063163391243017475, -0.38146385374338393, 0.05052363702161348]"
9,2,"[0.34467338667393627, -0.10909375384212912, 0.3684891403602197, -0.10178017589829358, -0.34467338667393627, 0.10909375384212912, -0.3684891403602197, 0.10178017589829358]"
9,3,[ 0.3889 -0.3664  0.3582 -0.138  -0.3889  0.3664 -0.3582  0.138 ]
10,0,[ 0.1508 -0.1031  0.1308 -0.084  -0.1508  0.1031 -0.1308  0.084 ]
10,1,"[-0.2362558492718561, 0.10213926811824013, -0.13653090610508303, -0.0871279348982066, 0.2362558492718561, -0.10213926811824013, 0.13653090610508303, 0.0871279348982066]"
10,2,"[-0.13886221413389194, 0.05627457649708524, -0.07213309448305533, -0.08461261648290742, 0.13886221413389194, -0.05627457649708524, 0.07213309448305533, 0.08461261648290742]"
10,3,[ 0.0816 -0.0565  0.0733 -0.0842 -0.0816  0.0565 -0.0733  0.0842]
11,0,[ 0.5399  0.6066 -0.1868 -0.4755 -0.5399 -0.6066  0.1868  0.4755]
11,1,"[0.6478601451982756, 0.135302006493468, -0.026810755301153642, -0.5635762608390081, -0.6478601451982756, -0.135302006493468, 0.026810755301153642, 0.5635762608390081]"
11,2,"[0.5802287291714963, 0.3813512226836574, -0.15324500081779335, -0.5089480155734556, -0.5802287291714963, -0.3813512226836574, 0.15324500081779335, 0.5089480155734556]"
11,3,[ 0.5702  0.4724 -0.1655 -0.5005 -0.5702 -0.4724  0.1655  0.5005]
12,0,[-0.2436 -0.0544  0.1899 -0.337   0.2436  0.0544 -0.1899  0.337 ]
12,1,"[-0.2994385260072881, -0.09877778090125552, 0.09198698596936189, -0.2885435937468128, 0.2994385260072881, 0.09877778090125552, -0.09198698596936189, 0.2885435937468128]"
12,2,"[-0.293738256815034, -0.08943984362088973, 0.09921624870359409, -0.2906122460438084, 0.293738256815034, 0.08943984362088973, -0.09921624870359409, 0.2906122460438084]"
12,3,[-0.2514 -0.0581  0.174  -0.3265  0.2514  0.0581 -0.174   0.3265]
13,0,[ 0.0206  0.0475 -0.2854 -0.0865 -0.0206 -0.0475  0.2854  0.0865]
13,1,"[0.2081065723463746, 0.19414278868996415, -0.3596376035741593, -0.1887847108969842, -0.2081065723463746, -0.19414278868996415, 0.3596376035741593, 0.1887847108969842]"
13,2,"[0.07109819738590967, 0.091045390729792, -0.3102672497275483, -0.1261336729411499, -0.07109819738590967, -0.091045390729792, 0.3102672497275483, 0.1261336729411499]"
13,3,[ 0.065   0.0869 -0.3081 -0.122  -0.065  -0.0869  0.3081  0.122 ]
14,0,[ 0.5637  0.3313 -0.4159 -0.371  -0.5637 -0.3313  0.4159  0.371 ]
14,1,"[0.5430671547666731, 0.17914708038305857, -0.18926832535362598, 0.09109528356807245, -0.5430671547666731, -0.17914708038305857, 0.18926832535362598, -0.09109528356807245]"
14,2,"[0.5577991877159083, 0.2638751383077291, -0.350602423959156, -0.16892152011860145, -0.5577991877159083, -0.2638751383077291, 0.350602423959156, 0.16892152011860145]"
14,3,"[0.5569703924875782, 0.24881940918918777, -0.3361865393144586, -0.12453628861841133, -0.5569703924875782, -0.24881940918918777, 0.3361865393144586, 0.12453628861841133]"
15,0,[ 0.5737  0.4243 -0.1     0.0301 -0.5737 -0.4243  0.1    -0.0301]
15,1,"[0.3814390157746666, 0.22139703391646023, 0.28692594379975334, 0.3125413397587729, -0.3814390157746666, -0.22139703391646023, -0.28692594379975334, -0.3125413397587729]"
15,2,"[0.49060405543514857, 0.3444202747920315, 0.10451496657882553, 0.18154921396299037, -0.49060405543514857, -0.3444202747920315, -0.10451496657882553, -0.18154921396299037]"
15,3,"[0.42796202867463995, 0.2782751780134134, 0.2224384229757485, 0.2707606950247747, -0.42796202867463995, -0.2782751780134134, -0.2224384229757485, -0.2707606950247747]"
16,0,[ 0.3869 -0.6518 -0.017   0.1307 -0.3869  0.6518  0.017  -0.1307]
16,1,"[0.32905591492472264, -0.1101015185577847, -0.16388104530032477, -0.03826227555501092, -0.32905591492472264, 0.1101015185577847, 0.16388104530032477, 0.03826227555501092]"
16,2,"[0.3720204629366513, -0.3622920905586335, -0.06303829739993844, 0.06950892223928107, -0.3720204629366513, 0.3622920905586335, 0.06303829739993844, -0.06950892223928107]"
16,3,[ 0.3781 -0.5415 -0.0423  0.0957 -0.3781  0.5415  0.0423 -0.0957]
17,0,[ 0.0547 -0.5898 -0.0874  0.5844 -0.0547  0.5898  0.0874 -0.5844]
17,1,"[0.15807905872966976, -0.5175913413566111, -0.19450782221075225, 0.530320561442602, -0.15807905872966976, 0.5175913413566111, 0.19450782221075225, -0.530320561442602]"
17,2,"[0.08866823324324834, -0.5540593861569973, -0.1401111743509044, 0.5574697206819884, -0.08866823324324834, 0.5540593861569973, 0.1401111743509044, -0.5574697206819884]"
17,3,[ 0.0858 -0.5591 -0.1314  0.5619 -0.0858  0.5591  0.1314 -0.5619]
