context,p,decision
0,0,"[np.float64(0.37308178024645), np.float64(-0.09085750541118474)]"
0,1,"[0.35818785392790703, 0.08220058347741938]"
0,2,"[0.36395182489843275, 0.05850787397557527]"
0,3,"[0.36810239461769856, 0.005898334549060309]"
1,0,"[np.float64(-0.011839975925690638), np.float64(0.21398394370731083)]"
1,1,"[-0.22992324578321174, 0.08747318378687914]"
1,2,"[-0.19829761624917513, 0.09927111571897466]"
1,3,"[np.float64(-0.048411417708021515), np.float64(0.18454360582193308)]"
2,0,"[np.float64(0.4850648954132064), np.float64(0.22057137828799497)]"
2,1,"[0.1224966557445352, 0.36327837698094434]"
2,2,"[0.2951129554815401, 0.2862618406233843]"
2,3,"[np.float64(0.4730366992892815), np.float64(0.23244540527437418)]"
3,0,"[np.float64(0.10610609106197569), np.float64(0.4503409893286376)]"
3,1,"[0.053480241263711786, 0.2879028914549444]"
3,2,"[0.0786487341676951, 0.3151591070176285]"
3,3,"[np.float64(0.09917657366988292), np.float64(0.44384798384597013)]"
4,0,"[np.float64(0.27927276662240896), np.float64(-0.04764044168091958)]"
4,1,"[0.26193911620222865, 0.091802852556153]"
4,2,"[0.27543027040474605, 0.05417754811589827]"
4,3,"[np.float64(0.27354076189027177), np.float64(-0.004157493462798069)]"
5,0,"[np.float64(0.27879327617027044), np.float64(-0.27906047773869125)]"
5,1,"[-0.12059135644809524, -0.1405187420431487]"
5,2,"[0.07704291150807592, -0.21363739347072142]"
5,3,"[-0.02844014622921459, -0.1680879750037662]"
6,0,"[np.float64(-0.14093855225508262), np.float64(-0.16016528619194687)]"
6,1,"[-0.02054496015839168, -0.013736574790124738]"
6,2,"[-0.056831401298032234, -0.07415458799707147]"
6,3,"[np.float64(-0.11463183352426165), np.float64(-0.12464137764376451)]"
7,0,"[np.float64(-0.008944767849393409), np.float64(-0.4488983698157167)]"
7,1,"[-0.16088789001664375, -0.4417841750981195]"
7,2,"[-0.11460334718703825, -0.45170362378046813]"
7,3,"[-0.10975230302209443, -0.45236612258454856]"
8,0,"[np.float64(-0.026302530887215472), np.float64(0.054957543519894625)]"
8,1,"[-0.19823869290761856, -0.08722039468122081]"
8,2,"[-0.1457025111782883, -0.028389569881739157]"
8,3,"[np.float64(-0.07571773421758052), np.float64(0.01724115060475373)]"
9,0,"[np.float64(0.38957838873892586), np.float64(-0.39336991004561456)]"
9,1,"[0.3490123182401036, -0.027462966525385362]"
9,2,"[0.3558667474664218, -0.10565638554853343]"
9,3,"[np.float64(0.3746281964303612), np.float64(-0.26019031840299855)]"
10,0,"[np.float64(0.1403917897052809), np.float64(-0.09316897128239209)]"
10,1,"[-0.18854826418462764, 0.011595409125725119]"
10,2,"[-0.10554622311850079, -0.01406647520666316]"
10,3,"[np.float64(0.07734546600598577), np.float64(-0.07062953372531972)]"
11,0,"[np.float64(0.055025854050430936), np.float64(-0.11535949335463591)]"
11,1,"[0.24947521359422722, -0.2773770797465052]"
11,2,"[0.11834779123283488, -0.179285416911159]"
11,3,"[np.float64(0.09695092387439591), np.float64(-0.15337311519469388)]"
12,0,"[np.float64(-0.016608984132908247), np.float64(-0.20242886994120474)]"
12,1,"[-0.0905962382451093, -0.2000259757201967]"
12,2,"[-0.08531084920586948, -0.19614390663748965]"
12,3,"[np.float64(-0.02817912779786283), np.float64(-0.19894954918635643)]"
13,0,"[np.float64(-0.07459974043133023), np.float64(0.005805726466015224)]"
13,1,"[0.02003058305975665, 0.06729081668497659]"
13,2,"[-0.051437568064140064, 0.021264022207628262]"
13,3,"[np.float64(-0.05430293173585155), np.float64(0.0200670032489645)]"
14,0,"[np.float64(-0.09795384184028177), np.float64(-0.14302816533810894)]"
14,1,"[0.17105285379580998, 0.13441822519229996]"
14,2,"[0.019026517155685874, 0.007183595191772182]"
14,3,"[0.04110428784471293, 0.033178078291569046]"
15,0,"[np.float64(0.3616277855404543), np.float64(0.3001922980737801)]"
15,1,"[0.3392497451269686, 0.2620825360044524]"
15,2,"[0.3444512477504279, 0.2827659480632811]"
15,3,"[0.3403034877684856, 0.2750701514559616]"
16,0,"[np.float64(0.0825610841361611), np.float64(-0.06215729409025619)]"
16,1,"[-0.06628345843579925, -0.05248587273880495]"
16,2,"[0.03360805825579759, -0.026413739387133914]"
16,3,"[np.float64(0.05535218993812992), np.float64(-0.052352211622719955)]"
17,0,"[np.float64(-0.03723632363975812), np.float64(0.16972511014902097)]"
17,1,"[-0.0364719672365245, 0.06062738098496928]"
17,2,"[-0.04892962756838092, 0.114462439907974]"
17,3,"[np.float64(-0.04609844771145848), np.float64(0.1215178834799579)]"
18,0,"[np.float64(-0.05058125417286262), np.float64(-0.020931462275969065)]"
18,1,"[-0.14827606421811398, 0.20376584314896865]"
18,2,"[-0.10815441220363123, 0.12378426778435438]"
18,3,"[-0.08841984680440632, 0.07394552849396042]"
