context,p_value,agent,satisfaction
0,0,78.0,0.19312780131051677
0,0,69.0,0.12398015170553263
0,0,68.0,0.32646403199311674
0,0,25.0,0.022045288292814366
0,1,78.0,0.20526940396242738
0,1,69.0,0.13612175435744325
0,1,68.0,0.31432242934120613
0,1,25.0,0.034186890944725004
0,2,78.0,0.19957466473540386
0,2,69.0,0.13042701513041974
0,2,68.0,0.3200171685682296
0,2,25.0,0.02849215171770149
0,3,78.0,0.19683624110691506
0,3,69.0,0.12768859150193093
0,3,68.0,0.32275559219671845
0,3,25.0,0.025753728089212682
1,0,41.0,0.16250649954348784
1,0,10.0,0.3793018990570456
1,0,95.0,0.028269430106202517
1,0,56.0,0.506051392515639
1,1,41.0,0.21296101412444446
1,1,10.0,0.32884738447608897
1,1,95.0,0.07872394468715914
1,1,56.0,0.4555968779346824
1,2,41.0,0.19290644615041355
1,2,10.0,0.3489019524501199
1,2,95.0,0.05866937671312822
1,2,56.0,0.47565144590871333
1,3,41.0,0.17727575641643406
1,3,10.0,0.36453264218409936
1,3,95.0,0.04303868697914874
1,3,56.0,0.4912821356426928
2,0,96.0,0.2221203418402818
2,0,83.0,0.1919786933487989
2,0,54.0,0.6145662406869612
2,0,90.0,0.14736353267719807
2,1,96.0,0.18251506169959647
2,1,83.0,0.1523734132081136
2,1,54.0,0.5749609605462758
2,1,90.0,0.10775825253651275
2,2,96.0,0.20274562964306336
2,2,83.0,0.1726039811515805
2,2,54.0,0.5951915284897427
2,2,90.0,0.12798882047997964
2,3,96.0,0.2207581131587151
2,3,83.0,0.19061646466723225
2,3,54.0,0.6132040120053944
2,3,90.0,0.14600130399563138
3,0,80.0,0.1213462328650707
3,0,64.0,0.3051992703155707
3,0,45.0,0.4596833017432704
3,0,82.0,0.40810598125238795
3,1,80.0,0.03099037361610378
3,1,64.0,0.39555512956453764
3,1,45.0,0.5500391609922373
3,1,82.0,0.317750122003421
3,2,80.0,0.08093297536451595
3,2,64.0,0.34561252781612545
3,2,45.0,0.5000965592438251
3,2,82.0,0.3676927237518332
3,3,80.0,0.09650933628721448
3,3,64.0,0.33003616689342696
3,3,45.0,0.4845201983211266
3,3,82.0,0.3832690846745317
4,0,49.0,0.2362640353548554
4,0,34.0,0.48939050055554223
4,0,88.0,0.5720322220256551
4,0,98.0,0.2966193108140373
4,1,49.0,0.2063250765050766
4,1,34.0,0.519329459405321
4,1,88.0,0.6019711808754338
4,1,98.0,0.3265582696638161
4,2,49.0,0.23798856267776625
4,2,34.0,0.4876659732326314
4,2,88.0,0.5703076947027441
4,2,98.0,0.29489478349112647
4,3,49.0,0.23734370470976046
4,3,34.0,0.48831083120063723
4,3,88.0,0.57095255267075
4,3,98.0,0.29553964145913225
5,0,37.0,0.038728381120332334
5,0,48.0,0.037804328574501445
5,0,17.0,0.26187467529306974
5,0,57.0,0.025187225222363552
5,1,37.0,0.17709738041800938
5,1,48.0,0.25363009011284315
5,1,17.0,0.47770043683141145
5,1,57.0,0.19063853631597816
5,2,37.0,0.06809414048976474
5,2,48.0,0.14462685018459853
5,2,17.0,0.3686971969031668
5,2,57.0,0.08163529638773352
5,3,37.0,0.021441875516341524
5,3,48.0,0.055090834178492254
5,3,17.0,0.27916118089706055
5,3,57.0,0.007900719618372742
6,0,42.0,0.7241877979678412
6,0,4.0,0.21153018201000295
6,0,50.0,0.43444954788370105
6,0,26.0,0.15208555430867723
6,1,42.0,0.7329426446722025
6,1,4.0,0.2202850287143642
6,1,50.0,0.44320439458806227
6,1,26.0,0.16084040101303848
6,2,42.0,0.7264479224849488
6,2,4.0,0.2137903065271106
6,2,50.0,0.43670967240080866
6,2,26.0,0.15434567882578487
6,3,42.0,0.7256514901694711
6,3,4.0,0.2129938742116328
6,3,50.0,0.43591324008533083
6,3,26.0,0.15354924651030707
7,0,67.0,0.31780293215164596
7,0,52.0,0.10653486812172566
7,0,70.0,0.20296372677417834
7,0,22.0,0.02685105262099892
7,1,67.0,0.3966745451336842
7,1,52.0,0.18540648110376393
7,1,70.0,0.2818353397562166
7,1,22.0,0.10572266560303718
7,2,67.0,0.3521494037521006
7,2,52.0,0.14088133972218028
7,2,70.0,0.23731019837463296
7,2,22.0,0.06119752422145354
7,3,67.0,0.33823837311378785
7,3,52.0,0.12697030908386756
7,3,70.0,0.22339916773632024
7,3,22.0,0.04728649358314081
8,0,74.0,0.2516115695660785
8,0,18.0,0.34695628957334107
8,0,58.0,0.05350218974188241
8,0,3.0,0.2891020935049862
8,1,74.0,0.2957643727897719
8,1,18.0,0.3911090927970345
8,1,58.0,0.009349386518188993
