context,p,decision
0,0,"[np.float64(-0.13464245449131557), np.float64(-0.06543890840995248)]"
0,1,"[-0.1467840571432262, -0.14603223139251922]"
0,2,"[-0.1410893179162027, -0.1001535659144257]"
0,3,"[np.float64(-0.13835089428771388), np.float64(-0.07755877161697056)]"
1,0,"[np.float64(0.10614535306625604), np.float64(-0.16805003372299593)]"
1,1,"[0.05569083848529942, -0.15284969254830774]"
1,2,"[0.07574540645933034, -0.16354254283131103]"
1,3,"[np.float64(0.09137609619330982), np.float64(-0.16559570647916505)]"
2,0,"[np.float64(-0.2509896222409138), np.float64(-0.21701536850189193)]"
2,1,"[-0.2113843421002285, -0.032635987741165315]"
2,2,"[-0.2316149100436954, -0.12025245047508093]"
2,3,"[np.float64(-0.24962739355934713), np.float64(-0.2082002276338337)]"
3,0,"[np.float64(-0.030510876959929614), np.float64(0.08547719635370833)]"
3,1,"[-0.12086673620889653, 0.10926626589913442]"
3,2,"[-0.07092413446048436, 0.09516943145491588]"
3,3,"[np.float64(-0.05534777353778583), np.float64(0.09094203166878749)]"
4,0,"[np.float64(0.2545703116736374), np.float64(-0.21429322264200362)]"
4,1,"[0.28450927052341624, 0.06380924067942742]"
4,2,"[0.2528457843507266, -0.11466192343072149]"
4,3,"[np.float64(0.25349064231873236), np.float64(-0.12717819815920062)]"
5,0,"[np.float64(-0.23043581083539288), np.float64(-0.2799825096019357)]"
5,1,"[-0.014610049297051161, -0.26219928491403244]"
5,2,"[-0.12361328922529581, -0.2630835101446465]"
5,3,"[np.float64(-0.21314930523140208), np.float64(-0.2815784122106246)]"
6,0,"[np.float64(0.15170524452380665), np.float64(-0.26828398798770264)]"
6,1,"[0.1604600912281679, -0.40482525548299736]"
6,2,"[0.1539653690409143, -0.3262480161890722]"
6,3,"[np.float64(0.1531689367254365), np.float64(-0.30100377452139315)]"
7,0,"[np.float64(-0.08922842334800479), np.float64(0.07794972486459395)]"
7,1,"[-0.16810003633004306, 0.04732764057649269]"
7,2,"[-0.12357489494845941, 0.06570587702068399]"
7,3,"[np.float64(-0.10966386431014669), np.float64(0.06807585433667726)]"
8,0,"[np.float64(-0.04918968424791752), np.float64(-0.026659162643891343)]"
8,1,"[-0.09334248747161093, -0.17865149751814113]"
8,2,"[-0.06985071844288035, -0.10015934931790979]"
8,3,"[np.float64(-0.04918968424791752), np.float64(-0.026659162643891343)]"
9,0,"[np.float64(0.43741996734810207), np.float64(-0.06516218444476835)]"
9,1,"[0.2219652364719805, -0.13475073312050373]"
9,2,"[0.33642136614313584, -0.11033137399228145]"
9,3,"[np.float64(0.3708663742255119), np.float64(-0.093415872753696)]"
10,0,"[np.float64(0.0139589505781927), np.float64(-0.34779199074511846)]"
10,1,"[0.15975478866187015, -0.30443485111711505]"
10,2,"[0.14134504453456215, -0.29715950009745]"
10,3,"[np.float64(0.05761331326108726), np.float64(-0.3392980457150026)]"
11,0,"[np.float64(-0.2516626153656935), np.float64(-0.14917510837120496)]"
11,1,"[-0.28922798359342067, -0.24437082695574616]"
11,2,"[-0.2682994141968933, -0.21241593446816712]"
11,3,"[np.float64(-0.2544655975674269), np.float64(-0.1511392600259413)]"
12,0,"[np.float64(-0.023323546436501315), np.float64(0.04711774889364373)]"
12,1,"[0.2519596366423087, -0.020812242424076338]"
12,2,"[0.11318401494135664, 0.02079980062214934]"
12,3,"[np.float64(0.048143823974574625), np.float64(0.03231727133773493)]"
13,0,"[np.float64(-0.4553008780939561), np.float64(-0.15710540248450858)]"
13,1,"[-0.3310328925699915, -0.22161607114126253]"
13,2,"[-0.37586814333531865, -0.1932865049055058]"
13,3,"[np.float64(-0.4189671867764425), np.float64(-0.17519764314623398)]"
