,Unnamed: 0,country,rel,nonrel,a_adp_rel,a_adp_nonrel,a_div_rel,a_div_nonrel,rel-nonrel,nonrel-rel,decision
0,0,AT,642,1216,0.0,0.0,0.0477673935617861,0.112390350877193,0.3455328310010764,0.6544671689989235,0.09006099748833872
1,1,BE,621,1116,0.0,0.0,-0.0638754696725711,-0.0543608124253286,0.35751295336787564,0.6424870466321243,-0.05776242563807332
2,2,CH,767,666,0.0,0.0,0.1508039982616252,0.2622622622622623,0.5352407536636427,0.4647592463363573,0.20260525703652002
3,3,CZ,577,1483,0.0,0.0,0.021374927787406,0.0289952798381659,0.28009708737864075,0.7199029126213592,0.026860841423948196
4,4,DE,1264,1488,0.0,0.0,0.0021097046413501,0.0681003584229391,0.45930232558139533,0.5406976744186046,0.03779069767441857
5,5,EE,802,1118,0.0,0.0,0.0723192019950124,0.0494931425163983,0.41770833333333335,0.5822916666666667,0.059027777777777735
6,6,ES,567,1143,0.0,0.0,0.0146972369194591,0.0562846310877808,0.33157894736842103,0.6684210526315789,0.04249512670565307
7,7,FI,739,1099,0.0,0.0,-0.0987821380243573,-0.0057628146800121,0.4020674646354733,0.5979325353645266,-0.043162858179180266
8,8,FR,1063,899,0.0,0.0,0.0210097209156475,0.1123470522803114,0.5417940876656473,0.4582059123343527,0.06286102616377841
9,9,GB,541,1287,0.0,0.0,0.0080098582871225,0.0505050505050504,0.2959518599562363,0.7040481400437637,0.03792851932895686
10,10,HU,387,927,0.0,0.0,-0.1834625322997416,-0.2117943185904355,0.2945205479452055,0.7054794520547946,-0.20345002536783388
11,11,IE,617,1855,0.0,0.0,-0.048082117774176,-0.0001796945193172,0.24959546925566342,0.7504045307443366,-0.012135922330097085
12,12,IL,743,1380,0.0,0.0,-0.1682368775235528,-0.1347826086956521,0.3499764484220443,0.6500235515779558,-0.1464908148845971
13,13,IS,501,281,0.0,0.0,0.0432468396540252,0.1032028469750888,0.6406649616368286,0.3593350383631714,0.06479113384484217
14,14,IT,288,1930,0.0,0.0,-0.0462962962962962,-0.0317789291882558,0.12984670874661858,0.8701532912533815,-0.033663961526901265
15,15,LT,413,1296,0.0,0.0,-0.3430185633575468,-0.3055555555555529,0.24166179052077238,0.7583382094792276,-0.3146089330992764
16,16,NL,548,1035,0.0,0.0,-0.0401459854014598,0.0396135265700483,0.3461781427668983,0.6538218572331017,0.012002526847757438
17,17,NO,472,1011,0.0,0.0,0.173728813559322,0.2218925156610622,0.31827376938637897,0.681726230613621,0.20656327264553867
18,18,PL,167,1268,0.0,0.0,0.0219560878243512,-0.0452155625657204,0.11637630662020906,0.883623693379791,-0.03739837398373994
19,19,PT,508,672,0.0,0.0,-0.0656167979002624,-0.0376984126984126,0.43050847457627117,0.5694915254237288,-0.0497175141242937
20,20,RU,468,1440,0.0,0.0,-0.2179487179487174,-0.1893518518518517,0.24528301886792453,0.7547169811320755,-0.19636617749825275
21,21,SE,656,779,0.0,0.0,0.2337398373983734,0.3230637569533591,0.45714285714285713,0.5428571428571428,0.2822299651567942
22,22,SI,356,843,0.0,0.0,-0.1779026217228466,-0.1087386318703043,0.2969140950792327,0.7030859049207673,-0.12927439532944113
