Unnamed: 0,country,rel,nonrel,a_div_rel,a_div_nonrel,Rel-Nonrel,Nonrel-Rel
0,AT,642,1216,0.23883696780893052,0.561951754385965,-0.2723358449946178,1.2723358449946178
1,BE,621,1116,-0.3193773483628555,-0.271804062126643,-0.21243523316062163,1.2124352331606216
2,CH,767,666,0.7540199913081259,1.3113113113113115,0.6762037683182134,0.3237962316817866
3,CZ,577,1483,0.10687463893703,0.1449763991908295,-0.5995145631067962,1.5995145631067962
4,DE,1264,1488,0.010548523206750501,0.3405017921146955,0.2965116279069768,0.7034883720930232
5,EE,802,1118,0.361596009975062,0.24746571258199151,0.08854166666666674,0.9114583333333333
6,ES,567,1143,0.0734861845972955,0.281423155438904,-0.3421052631578947,1.3421052631578947
7,FI,739,1099,-0.4939106901217865,-0.0288140734000605,0.010337323177366797,0.9896626768226332
8,FR,1063,899,0.1050486045782375,0.561735261401557,0.7089704383282365,0.2910295616717635
9,GB,541,1287,0.0400492914356125,0.252525252525252,-0.5202407002188185,1.5202407002188185
10,HU,387,927,-0.917312661498708,-1.0589715929521775,-0.5273972602739727,1.5273972602739727
11,IE,617,1855,-0.24041058887088002,-0.000898472596586,-0.7520226537216828,1.7520226537216828
12,IL,743,1380,-0.8411843876177639,-0.6739130434782604,-0.25011775788977875,1.2501177578897789
13,IS,501,281,0.216234198270126,0.516014234875444,1.203324808184143,-0.2033248081841431
14,IT,288,1930,-0.23148148148148098,-0.158894645941279,-1.3507664562669075,2.3507664562669075
15,LT,413,1296,-1.7150928167877342,-1.5277777777777646,-0.7916910473961378,1.7916910473961378
16,NL,548,1035,-0.200729927007299,0.1980676328502415,-0.26910928616550855,1.2691092861655084
17,NO,472,1011,0.86864406779661,1.109462578305311,-0.40863115306810516,1.408631153068105
18,PL,167,1268,0.109780439121756,-0.226077812828602,-1.4181184668989548,2.418118466898955
19,PT,508,672,-0.328083989501312,-0.188492063492063,0.15254237288135586,0.8474576271186441
20,RU,468,1440,-1.089743589743587,-0.9467592592592584,-0.7735849056603776,1.7735849056603776
21,SE,656,779,1.168699186991867,1.6153187847667954,0.2857142857142858,0.7142857142857142
22,SI,356,843,-0.8895131086142329,-0.5436931593515215,-0.5154295246038365,1.5154295246038365
