country,cntry,imptrad,ipgdtim,basinc,Rel-Nonrel,Nonrel-Rel,a_div_rel,a_div_nonrel
1.0,AT,6.0,4.0,4.0,0.6,0.4,0.6,0.4
2.0,AT,5.0,3.0,3.0,0.625,0.375,0.2083333333333333,0.12499999999999997
4.0,AT,2.0,2.0,1.0,0.5,0.5,-0.5,-0.5
10.0,AT,4.0,1.0,3.0,0.8,0.2,0.2666666666666666,0.06666666666666665
11.0,AT,2.0,3.0,3.0,0.4,0.6,0.1333333333333333,0.19999999999999996
13.0,AT,1.0,3.0,2.0,0.25,0.75,-0.08333333333333334,-0.25
14.0,AT,4.0,3.0,3.0,0.5714285714285714,0.42857142857142855,0.1904761904761904,0.14285714285714282
15.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
16.0,AT,5.0,3.0,3.0,0.625,0.375,0.2083333333333333,0.12499999999999997
17.0,AT,5.0,3.0,2.0,0.625,0.375,-0.20833333333333337,-0.125
18.0,AT,1.0,1.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
22.0,AT,3.0,3.0,1.0,0.5,0.5,-0.5,-0.5
23.0,AT,4.0,1.0,3.0,0.8,0.2,0.2666666666666666,0.06666666666666665
24.0,AT,3.0,1.0,2.0,0.75,0.25,-0.25,-0.08333333333333334
28.0,AT,3.0,2.0,1.0,0.6,0.4,-0.6,-0.4
29.0,AT,3.0,4.0,2.0,0.42857142857142855,0.5714285714285714,-0.14285714285714288,-0.1904761904761905
30.0,AT,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,-0.3333333333333333
32.0,AT,3.0,4.0,1.0,0.42857142857142855,0.5714285714285714,-0.42857142857142855,-0.5714285714285714
34.0,AT,2.0,3.0,4.0,0.4,0.6,0.4,0.6
39.0,AT,1.0,1.0,2.0,0.5,0.5,-0.16666666666666669,-0.16666666666666669
42.0,AT,4.0,4.0,1.0,0.5,0.5,-0.5,-0.5
43.0,AT,3.0,1.0,2.0,0.75,0.25,-0.25,-0.08333333333333334
45.0,AT,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666
48.0,AT,2.0,2.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
49.0,AT,1.0,2.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666666
50.0,AT,3.0,1.0,1.0,0.75,0.25,-0.75,-0.25
52.0,AT,4.0,3.0,2.0,0.5714285714285714,0.42857142857142855,-0.1904761904761905,-0.14285714285714288
53.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
54.0,AT,3.0,1.0,3.0,0.75,0.25,0.24999999999999994,0.08333333333333331
56.0,AT,3.0,2.0,2.0,0.6,0.4,-0.2,-0.13333333333333336
57.0,AT,3.0,4.0,2.0,0.42857142857142855,0.5714285714285714,-0.14285714285714288,-0.1904761904761905
58.0,AT,4.0,2.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
60.0,AT,4.0,1.0,3.0,0.8,0.2,0.2666666666666666,0.06666666666666665
61.0,AT,3.0,3.0,3.0,0.5,0.5,0.16666666666666663,0.16666666666666663
62.0,AT,1.0,3.0,3.0,0.25,0.75,0.08333333333333331,0.24999999999999994
63.0,AT,4.0,2.0,3.0,0.6666666666666666,0.3333333333333333,0.22222222222222215,0.11111111111111108
65.0,AT,4.0,3.0,3.0,0.5714285714285714,0.42857142857142855,0.1904761904761904,0.14285714285714282
66.0,AT,4.0,2.0,2.0,0.6666666666666666,0.3333333333333333,-0.22222222222222224,-0.11111111111111112
67.0,AT,2.0,3.0,1.0,0.4,0.6,-0.4,-0.6
68.0,AT,2.0,3.0,2.0,0.4,0.6,-0.13333333333333336,-0.2
