context,p_value,agent,satisfaction
0,0,45.0,0.08526486144318332
0,0,92.0,0.022994504822825057
0,0,23.0,0.10712521006370673
0,0,20.0,0.18856447850444363
0,1,45.0,0.011248466100639454
0,1,92.0,0.07351882272099772
0,1,23.0,0.010611882519883958
0,1,20.0,0.09205115096062087
0,2,45.0,0.046104788707366146
0,2,92.0,0.016165567912992118
0,2,23.0,0.06796513732788956
0,2,20.0,0.14940440576862646
0,3,45.0,0.07038568643848803
0,3,92.0,0.008115329818129763
0,3,23.0,0.09224603505901144
0,3,20.0,0.17368530349974837
1,0,45.0,0.2639203023051022
1,0,92.0,0.41885740439588093
1,0,23.0,0.2186487841894445
1,0,20.0,0.16539914298977237
1,1,45.0,0.07578064020463036
1,1,92.0,0.2307177422954091
1,1,23.0,0.40678844628991634
1,1,20.0,0.022740519110699492
1,2,45.0,0.17025712363947265
1,2,92.0,0.32519422573025136
1,2,23.0,0.31231196285507407
1,2,20.0,0.07173596432414281
1,3,45.0,0.23089869955078607
1,3,92.0,0.3858358016415648
1,3,23.0,0.25167038694376065
1,3,20.0,0.13237754023545623
2,0,45.0,0.05031846752498467
2,0,92.0,0.4648895934931936
2,0,23.0,0.3955036421418858
2,0,20.0,0.15906834761790373
2,1,45.0,0.0298549204251423
2,1,92.0,0.4444260463933512
2,1,23.0,0.41596718924172815
2,1,20.0,0.13860480051806134
2,2,45.0,0.04986258456450532
2,2,92.0,0.4644337105327142
2,2,23.0,0.39595952510236515
2,2,20.0,0.15861246465742435
2,3,45.0,0.05014144486026839
2,3,92.0,0.4647125708284773
2,3,23.0,0.3956806648066021
2,3,20.0,0.15889132495318742
0,0,45.0,0.08526486144318332
0,0,92.0,0.022994504822825057
0,0,23.0,0.10712521006370673
0,0,20.0,0.18856447850444363
0,1,45.0,0.011248466100639454
0,1,92.0,0.07351882272099772
0,1,23.0,0.010611882519883958
0,1,20.0,0.09205115096062087
0,2,45.0,0.046104788707366146
0,2,92.0,0.016165567912992118
0,2,23.0,0.06796513732788956
0,2,20.0,0.14940440576862646
0,3,45.0,0.07038568643848803
0,3,92.0,0.008115329818129763
0,3,23.0,0.09224603505901144
0,3,20.0,0.17368530349974837
1,0,45.0,0.2639203023051022
1,0,92.0,0.41885740439588093
1,0,23.0,0.2186487841894445
1,0,20.0,0.16539914298977237
1,1,45.0,0.07578064020463036
1,1,92.0,0.2307177422954091
1,1,23.0,0.40678844628991634
1,1,20.0,0.022740519110699492
1,2,45.0,0.17025712363947265
1,2,92.0,0.32519422573025136
1,2,23.0,0.31231196285507407
1,2,20.0,0.07173596432414281
1,3,45.0,0.23089869955078607
1,3,92.0,0.3858358016415648
1,3,23.0,0.25167038694376065
1,3,20.0,0.13237754023545623
2,0,45.0,0.05031846752498467
2,0,92.0,0.4648895934931936
2,0,23.0,0.3955036421418858
2,0,20.0,0.15906834761790373
2,1,45.0,0.0298549204251423
2,1,92.0,0.4444260463933512
2,1,23.0,0.41596718924172815
2,1,20.0,0.13860480051806134
2,2,45.0,0.04986258456450532
2,2,92.0,0.4644337105327142
2,2,23.0,0.39595952510236515
2,2,20.0,0.15861246465742435
2,3,45.0,0.05014144486026839
2,3,92.0,0.4647125708284773
2,3,23.0,0.3956806648066021
2,3,20.0,0.15889132495318742
3,0,11.0,0.10231160192322852
3,0,21.0,0.06030249056818872
3,0,77.0,0.11180747508060411
3,0,38.0,0.2330298272594967
3,1,11.0,0.05153412786903841
3,1,21.0,0.11107996462237883
3,1,77.0,0.1625849491347942
3,1,38.0,0.18225235320530658
3,2,11.0,0.09569290489737559
3,2,21.0,0.06692118759404166
3,2,77.0,0.11842617210645705
3,2,38.0,0.22641113023364376
3,3,11.0,0.11642201200997652
3,3,21.0,0.04619208048144072
3,3,77.0,0.09769706499385611
3,3,38.0,0.24714023734624468
4,0,11.0,0.22814456132894073
4,0,21.0,0.4336788759990595
4,0,77.0,0.1403709944822881
4,0,38.0,0.009351997937217027
4,1,11.0,0.1515108076202538
4,1,21.0,0.5103126297077465
4,1,77.0,0.06373724077360116
4,1,38.0,0.06728175577146991
4,2,11.0,0.22543614558352623
4,2,21.0,0.436387291744474
4,2,77.0,0.1376625787368736
4,2,38.0,0.006643582191802527
4,3,11.0,0.24102986242629584
4,3,21.0,0.4207935749017044
4,3,77.0,0.1532562955796432
4,3,38.0,0.02223729903457214
5,0,11.0,0.3654818375434313
5,0,21.0,0.3571339786960438
5,0,77.0,0.024490646718624137
5,0,38.0,0.20696598880731293
5,1,11.0,0.4301979625142318
5,1,21.0,0.42185010366684433
5,1,77.0,0.0402254782521764
5,1,38.0,0.1422498638365124
5,2,11.0,0.41549956369778984
5,2,21.0,0.4071517048504023
5,2,77.0,0.025527079435734415
5,2,38.0,0.15694826265295436
5,3,11.0,0.3657291710819468
5,3,21.0,0.3573813122345594
5,3,77.0,0.02424331318010857
5,3,38.0,0.20671865526879735
0,0,45.0,0.08526486144318332
0,0,92.0,0.022994504822825057
0,0,23.0,0.10712521006370673
0,0,20.0,0.18856447850444363
0,1,45.0,0.011248466100639454
0,1,92.0,0.07351882272099772
0,1,23.0,0.010611882519883958
0,1,20.0,0.09205115096062087
0,2,45.0,0.046104788707366146
0,2,92.0,0.016165567912992118
0,2,23.0,0.06796513732788956
0,2,20.0,0.14940440576862646
