context,p_value,agent,satisfaction
0,0,76.0,0.06272085688842256
0,0,65.0,0.003044952134016121
0,0,13.0,0.060293747273531886
0,0,33.0,0.20325734885428817
0,1,76.0,0.09696756360197147
0,1,65.0,0.03120175457953278
0,1,13.0,0.026047040559982984
0,1,33.0,0.16901064214073927
0,2,76.0,0.056381102364592484
0,2,65.0,0.0093847066578462
0,2,13.0,0.06663350179736197
0,2,33.0,0.20959710337811827
0,3,76.0,0.0386191391011457
0,3,65.0,0.027146669921292978
0,3,13.0,0.08439546506080875
0,3,33.0,0.22735906664156502
1,0,76.0,0.13487100875250668
1,0,65.0,0.5897162051499315
1,0,13.0,0.13759610650571746
1,0,33.0,0.027684880788960933
1,1,76.0,0.13379193053338992
1,1,65.0,0.5907952833690482
1,1,13.0,0.1365170282866007
1,1,33.0,0.028763959008077683
1,2,76.0,0.12812860982135527
1,2,65.0,0.5964586040810829
1,2,13.0,0.13085370757456605
1,2,33.0,0.03442727972011235
1,3,76.0,0.13011036254739813
1,3,65.0,0.59447685135504
1,3,13.0,0.13283546030060892
1,3,33.0,0.03244552699406947
2,0,76.0,0.19585823839506933
2,0,65.0,0.0062617247064677695
2,0,13.0,0.4235994874494633
2,0,33.0,0.20582584449094538
2,1,76.0,0.0055107668625093
2,1,65.0,0.18408574682609227
2,1,13.0,0.23325201591690325
2,1,33.0,0.01547837295838532
2,2,76.0,0.069211626814441
2,2,65.0,0.12038488687416057
2,2,13.0,0.29695287586883495
2,2,33.0,0.07917923291031702
2,3,76.0,0.19585823839506933
2,3,65.0,0.0062617247064677695
2,3,13.0,0.4235994874494633
2,3,33.0,0.20582584449094538
3,0,99.0,0.03282573922100576
3,0,73.0,0.13820280704613166
3,0,60.0,0.29082102499432033
3,0,78.0,0.2510642184148063
3,1,99.0,0.019892951322785124
3,1,73.0,0.1511355949443523
3,1,60.0,0.303753812892541
3,1,78.0,0.23813143051658564
3,2,99.0,0.029757227702410127
3,2,73.0,0.1412713185647273
3,2,60.0,0.29388953651291594
3,2,78.0,0.24799570689621064
3,3,99.0,0.03376364562129153
3,3,73.0,0.1372649006458459
3,3,60.0,0.2898831185940346
3,3,78.0,0.25200212481509204
4,0,99.0,0.38313569337235115
4,0,73.0,0.09745425388281341
4,0,60.0,0.2829351236669896
4,0,78.0,0.09813277466231914
4,1,99.0,0.37936952670732627
4,1,73.0,0.09368808721778853
4,1,60.0,0.2791689570019647
4,1,78.0,0.10189894132734402
4,2,99.0,0.38236704551809814
4,2,73.0,0.09668560602856037
4,2,60.0,0.2821664758127365
4,2,78.0,0.09890142251657218
4,3,99.0,0.383261646890611
4,3,73.0,0.09758020740107322
4,3,60.0,0.28306107718524937
4,3,78.0,0.09800682114405933
5,0,99.0,0.003004157800607442
5,0,73.0,0.2913456829917743
5,0,60.0,0.022194812829599238
5,0,78.0,0.010839432701816594
5,1,99.0,0.10840696911915357
5,1,73.0,0.40275680991153534
5,1,60.0,0.13360593974936025
5,1,78.0,0.1222505596215776
5,2,99.0,0.05162431238251589
5,2,73.0,0.34597415317489766
5,2,60.0,0.07682328301272257
5,2,78.0,0.06546790288493992
5,3,99.0,0.004139745023000303
5,3,73.0,0.2984895858153821
5,3,60.0,0.029338715653206983
5,3,78.0,0.01798333552542434
6,0,88.0,0.13533116759160455
6,0,44.0,0.1959301930845092
6,0,77.0,0.034866711605341105
6,0,83.0,0.09611053187625125
6,1,88.0,0.18129457738853302
6,1,44.0,0.14996678328758073
6,1,77.0,0.011096698191587373
6,1,83.0,0.05014712207932277
6,2,88.0,0.15650380709768186
6,2,44.0,0.1747575535784319
6,2,77.0,0.013694072099263793
6,2,83.0,0.07493789237017394
6,3,88.0,0.12021246984178804
6,3,44.0,0.2110488908343257
6,3,77.0,0.049985409355157606
6,3,83.0,0.11122922962606775
7,0,88.0,0.166765641248563
7,0,44.0,0.053787449419465
7,0,77.0,0.04174909457154456
7,0,83.0,0.2393134677869863
7,1,88.0,0.2310436351409106
7,1,44.0,0.01049054447288262
7,1,77.0,0.10602708846389218
7,1,83.0,0.1750354738946387
7,2,88.0,0.19923316277656106
7,2,44.0,0.021319927891466937
7,2,77.0,0.07421661609954262
7,2,83.0,0.20684594625898825
7,3,88.0,0.17090919118358
7,3,44.0,0.049643899484447994
7,3,77.0,0.04589264450656157
7,3,83.0,0.2351699178519693
8,0,88.0,0.013604979400538009
8,0,44.0,0.45339009467002145
8,0,77.0,0.2201913466748553
8,0,83.0,0.0387343967146902
8,1,88.0,0.21012444719080675
8,1,44.0,0.2568706268797527
8,1,77.0,0.02367187888458655
8,1,83.0,0.15778507107557854
8,2,88.0,0.14125447116924822
8,2,44.0,0.32574060290131124
8,2,77.0,0.09254185490614508
8,2,83.0,0.08891509505402001
8,3,88.0,0.020330012197289804
8,3,44.0,0.4466650618732697
8,3,77.0,0.2134663138781035
8,3,83.0,0.032009363917938405
9,0,92.0,0.06826342825405096
9,0,29.0,0.2025083776491048
9,0,53.0,0.2972613155435035
9,0,45.0,0.07652396277209333
9,1,92.0,0.090417980873685
9,1,29.0,0.22466293026873882
9,1,53.0,0.2751067629238695
9,1,45.0,0.09867851539172737
9,2,92.0,0.0653560721078309
9,2,29.0,0.19960102150288472
9,2,53.0,0.30016867168972355
9,2,45.0,0.07361660662587327
9,3,92.0,0.06115824385195262
9,3,29.0,0.19540319324700645
9,3,53.0,0.30436649994560183
9,3,45.0,0.069418778369995
10,0,92.0,0.12020304793821636
10,0,29.0,0.16891927800557885
10,0,53.0,0.2784079548627816
10,0,45.0,0.481463622859017
10,1,92.0,0.09188966589823583
10,1,29.0,0.043173435830873345
10,1,53.0,0.49050066869923376
10,1,45.0,0.26937090902256483
10,2,92.0,0.008096275032253852
10,2,29.0,0.056812505099616335
10,2,53.0,0.3905147277687441
10,2,45.0,0.3693568499530545
10,3,92.0,0.04904524695092295
10,3,29.0,0.09776147701828544
10,3,53.0,0.349565755850075
10,3,45.0,0.4103058218717236
11,0,92.0,0.9834505140471903
11,0,29.0,0.6442298528500685
11,0,53.0,0.854732226551393
11,0,45.0,0.36124090796113906
11,1,92.0,0.8189264054833101
11,1,29.0,0.47970574428618834
11,1,53.0,0.6902081179875128
11,1,45.0,0.19671679939725886
11,2,92.0,0.9238064760561168
11,2,29.0,0.5845858148589951
11,2,53.0,0.7950881885603194
11,2,45.0,0.3015968699700655
11,3,92.0,0.9707333963221121
11,3,29.0,0.6315127351249904
11,3,53.0,0.8420151088263148
11,3,45.0,0.34852379023606095
12,0,11.0,0.7241552957774513
12,0,80.0,0.015147147121014726
12,0,55.0,0.4123222095784321
12,0,39.0,0.4452733746657811
12,1,11.0,0.767832330458352
12,1,80.0,0.0588241818019154
12,1,55.0,0.45599924425933275
12,1,39.0,0.48895040934668177
12,2,11.0,0.7285190810521658
12,2,80.0,0.019510932395729264
12,2,55.0,0.4166859948531466
12,2,39.0,0.44963715994049563
12,3,11.0,0.713342851032662
12,3,80.0,0.004334702376225519
12,3,55.0,0.40150976483364287
12,3,39.0,0.4344609299209919
13,0,11.0,0.15472326810229653
13,0,80.0,0.2858786979285962
13,0,55.0,0.07569682727319398
13,0,39.0,0.05669785733827393
13,1,11.0,0.19789710264244986
13,1,80.0,0.3290525324687495
13,1,55.0,0.03252299273304067
13,1,39.0,0.09987169187842723
13,2,11.0,0.17245935563581513
13,2,80.0,0.3036147854621148
13,2,55.0,0.05796073973967538
13,2,39.0,0.07443394487179252
13,3,11.0,0.14418699824631784
13,3,80.0,0.2753424280726175
13,3,55.0,0.08623309712917268
13,3,39.0,0.046161587482295215
14,0,11.0,0.5527326397000579
14,0,80.0,0.027394434315920355
14,0,55.0,0.47600726141965455
14,0,39.0,0.08300145118927571
14,1,11.0,0.5472366736464949
14,1,80.0,0.03289040036948343
14,1,55.0,0.4815032274732176
14,1,39.0,0.07750548513571263
14,2,11.0,0.5296760093220673
14,2,80.0,0.050451064693911016
14,2,55.0,0.4990638917976452
14,2,39.0,0.05994482081128505
14,3,11.0,0.530883579648953
14,3,80.0,0.04924349436702517
14,3,55.0,0.49785632147075937
14,3,39.0,0.06115239113817089
15,0,36.0,0.5962388749486194
15,0,25.0,0.17291591083089355
15,0,21.0,0.4163860445346733
15,0,7.0,0.2360251624448726
15,1,36.0,0.606831432238448
15,1,25.0,0.18350846812072222
15,1,21.0,0.426978601824502
15,1,7.0,0.24661771973470126
15,2,36.0,0.6003071320312268
15,2,25.0,0.17698416791350094
15,2,21.0,0.4204543016172807
15,2,7.0,0.24009341952747998
15,3,36.0,0.5959129579544751
15,3,25.0,0.17258999383674914
15,3,21.0,0.4160601275405289
15,3,7.0,0.23569924545072818
16,0,36.0,0.17688314318851311
16,0,25.0,0.11208294876438053
16,0,21.0,0.23665697451780437
16,0,7.0,0.2276876135380127
16,1,36.0,0.2138203032893528
16,1,25.0,0.07514578866354084
16,1,21.0,0.19971981441696468
16,1,7.0,0.2646247736388524
16,2,36.0,0.197420989282804
16,2,25.0,0.09154510267008963
16,2,21.0,0.21611912842351344
16,2,7.0,0.24822545963230364
16,3,36.0,0.16942618697475118
16,3,25.0,0.11953990497814246
16,3,21.0,0.2441139307315663
16,3,7.0,0.2202306573242508
17,0,36.0,0.0007173154154027084
17,0,25.0,0.2950632465357793
17,0,21.0,0.01535253269731049
17,0,7.0,0.13262319095891878
17,1,36.0,0.07130258017892005
17,1,25.0,0.36564851129929665
17,1,21.0,0.08593779746082783
17,1,7.0,0.20320845572243612
17,2,36.0,0.014164865077800654
17,2,25.0,0.30851079619817723
17,2,21.0,0.028800082359708434
17,2,7.0,0.14607074062131675
17,3,36.0,0.007970298082556004
17,3,25.0,0.28637563303782054
17,3,21.0,0.0066649191993517765
17,3,7.0,0.12393557746096008
18,0,87.0,0.2202627762336899
18,0,84.0,0.04693029009992886
18,0,15.0,0.03318036238225695
18,0,59.0,0.2036734859783476
18,1,87.0,0.2466839166980712
18,1,84.0,0.07335143056431015
18,1,15.0,0.006759221917875674
18,1,59.0,0.17725234551396632
18,2,87.0,0.22243864093220014
18,2,84.0,0.0491061547984391
18,2,15.0,0.031004497683746718
18,2,59.0,0.20149762127983736
18,3,87.0,0.2165879007894337
18,3,84.0,0.04325541465567267
18,3,15.0,0.03685523782651315
18,3,59.0,0.2073483614226038
19,0,87.0,0.09587397322162279
19,0,84.0,0.17233966531822037
19,0,15.0,0.08217701251178665
19,0,59.0,0.3640657785395652
19,1,87.0,0.1689176162623096
19,1,84.0,0.09929602227753355
19,1,15.0,0.009133369471099845
19,1,59.0,0.437109421580252
19,2,87.0,0.11125951915416411
19,2,84.0,0.15695411938567905
19,2,15.0,0.06679146657924533
19,2,59.0,0.3794513244721065
19,3,87.0,0.06918460450638365
19,3,84.0,0.1990290340334595
19,3,15.0,0.10886638122702579
19,3,59.0,0.33737640982432604
20,0,87.0,0.14079840647985575
20,0,84.0,0.004693806656790145
20,0,15.0,0.03927595051154481
20,0,59.0,0.1168884923053993
20,1,87.0,0.19367393356614995
20,1,84.0,0.057569333743084344
20,1,15.0,0.09215147759783901
20,1,59.0,0.1697640193916935
20,2,87.0,0.14257529552278514
20,2,84.0,0.006470695699719545
20,2,15.0,0.04105283955447421
20,2,59.0,0.1186653813483287
20,3,87.0,0.13437209314325482
20,3,84.0,0.0017325066798107858
20,3,15.0,0.03284963717494388
20,3,59.0,0.11046217896879837
21,0,2.0,0.33957774931088375
21,0,19.0,0.3487840234045688
21,0,17.0,0.10564758767909854
21,0,81.0,0.049481319685002745
21,1,2.0,0.4488443010341396
21,1,19.0,0.45805057512782466
21,1,17.0,0.0036189640441572912
21,1,81.0,0.15874787140825858
21,2,2.0,0.37901201520283695
21,2,19.0,0.388218289296522
21,2,17.0,0.06621332178714534
21,2,81.0,0.08891558557695595
21,3,2.0,0.3177459980162198
21,3,19.0,0.32695227210990485
21,3,17.0,0.1274793389737625
21,3,81.0,0.027649568390338775
22,0,2.0,0.05215420717187529
22,0,19.0,0.07974512905532001
22,0,17.0,0.26921941925041093
22,0,81.0,0.17473675815766135
22,1,2.0,0.07035328028076783
22,1,19.0,0.09794420216421254
22,1,17.0,0.25102034614151836
22,1,81.0,0.15653768504876883
22,2,2.0,0.06447169484792875
22,2,19.0,0.09206261673137348
22,2,17.0,0.2569019315743575
22,2,81.0,0.1624192704816079
22,3,2.0,0.047792530872637094
22,3,19.0,0.07538345275608181
22,3,17.0,0.2735810955496491
22,3,81.0,0.17909843445689957
23,0,2.0,0.3743480133292458
23,0,19.0,0.014060295133586989
23,0,17.0,0.2785327564255362
23,0,81.0,0.1173049267643442
23,1,2.0,0.40873621793471987
23,1,19.0,0.02032790947188711
23,1,17.0,0.3129209610310103
23,1,81.0,0.1516931313698183
23,2,2.0,0.3813285980901574
23,2,19.0,0.007079710372675352
23,2,17.0,0.28551334118644783
23,2,81.0,0.12428551152525584
23,3,2.0,0.36912939615151136
23,3,19.0,0.019278912311321394
23,3,17.0,0.2733141392478018
23,3,81.0,0.1120863095866098
24,0,35.0,0.12000448436592122
24,0,71.0,0.0771316087141314
24,0,28.0,0.3104628952340035
24,0,40.0,0.3172706403050051
24,1,35.0,0.17902408762473293
24,1,71.0,0.1361512119729431
24,1,28.0,0.3694824984928152
24,1,40.0,0.2582510370461934
24,2,35.0,0.12161380063530652
24,2,71.0,0.0787409249835167
24,2,28.0,0.3120722115033888
24,2,40.0,0.3156613240356198
24,3,35.0,0.10987957350065401
24,3,71.0,0.06700669784886419
24,3,28.0,0.30033798436873627
24,3,40.0,0.3273955511702723
25,0,35.0,0.34533970169542766
25,0,71.0,0.005430036903186108
25,0,28.0,0.06651371900692646
25,0,40.0,0.07807132687998189
25,1,35.0,0.3444353034319143
25,1,71.0,0.006334435166699487
25,1,28.0,0.06560932074341308
25,1,40.0,0.07897572514349527
25,2,35.0,0.3389338902039094
25,2,71.0,0.01183584839470439
25,2,28.0,0.06010790751540818
25,2,40.0,0.08447713837150017
25,3,35.0,0.3516431948484212
25,3,71.0,0.0008734562498074194
25,3,28.0,0.07281721215991999
25,3,40.0,0.07176783372698836
26,0,35.0,0.5629080457147211
26,0,71.0,0.055684920593935094
26,0,28.0,0.5899511880339008
26,0,40.0,0.6938724830566345
26,1,35.0,0.6240105542358874
26,1,71.0,0.005417587927231293
26,1,28.0,0.6510536965550673
26,1,40.0,0.7549749915778008
26,2,35.0,0.6086071990302064
26,2,71.0,0.009985767278449742
26,2,28.0,0.6356503413493861
26,2,40.0,0.7395716363721199
26,3,35.0,0.5816784264133343
26,3,71.0,0.03691453989532173
26,3,28.0,0.6087215687325143
26,3,40.0,0.7126428637552478
27,0,30.0,0.04445769382625042
27,0,31.0,0.1292101687171293
27,0,52.0,0.072053191431143
27,0,14.0,0.11588385915842347
27,1,30.0,0.06142104887411515
27,1,31.0,0.23508891141749486
27,1,52.0,0.03382555126922257
27,1,14.0,0.010005116458057906
27,2,30.0,0.0172462548123537
27,2,31.0,0.156421607731026
27,2,52.0,0.04484175241724628
27,2,14.0,0.08867242014452675
27,3,30.0,0.06011572907549584
27,3,31.0,0.11355213346788387
27,3,52.0,0.08771122668038842
27,3,14.0,0.1315418944076689
28,0,30.0,0.11974666402964289
28,0,31.0,0.023173111024873086
28,0,52.0,0.37570213412994746
28,0,14.0,0.21985906031783203
28,1,30.0,0.21757995670676547
28,1,31.0,0.12100640370199565
28,1,52.0,0.47353542680707
28,1,14.0,0.3176923529949546
28,2,30.0,0.16085277735156922
28,2,31.0,0.0642792243467994
28,2,52.0,0.4168082474518737
28,2,14.0,0.26096517363975835
28,3,30.0,0.10730608617494851
28,3,31.0,0.010732533170178707
28,3,52.0,0.36326155627525303
28,3,14.0,0.20741848246313765
29,0,30.0,0.0596899246540807
29,0,31.0,0.17752970453757744
29,0,52.0,0.4264691624531149
29,0,14.0,0.1898596574632172
29,1,30.0,0.11892944395505678
29,1,31.0,0.3561490731467149
29,1,52.0,0.6050885310622524
29,1,14.0,0.36847902607235467
29,2,30.0,0.13225249091820296
29,2,31.0,0.10496713827345518
29,2,52.0,0.3539065961889926
29,2,14.0,0.11729709119909493
29,3,30.0,0.08160877715037113
29,3,31.0,0.155610852041287
29,3,52.0,0.40455030995682445
29,3,14.0,0.16794080496692676
30,0,9.0,0.04829095291193619
30,0,46.0,0.20721459543134974
30,0,47.0,0.19019977223774293
30,0,86.0,0.1559743578745636
30,1,9.0,0.04072058265389804
30,1,46.0,0.1182030598655155
30,1,47.0,0.1011882366719087
30,1,86.0,0.06696282230872938
30,2,9.0,0.03457877911121496
30,2,46.0,0.1935024216306285
30,2,47.0,0.1764875984370217
30,2,86.0,0.1422621840738424
30,3,9.0,0.06903157955433711
30,3,46.0,0.22795522207375066
30,3,47.0,0.21094039888014385
30,3,86.0,0.17671498451696455
31,0,9.0,0.6314489597828001
31,0,46.0,0.19029350573014892
31,0,47.0,0.08978830083399447
