context,p,decision
0,0,"[np.float64(0.15541940217347006), np.float64(-0.15679006797444572)]"
0,1,"[0.11256078208736106, -0.1674353356765518]"
0,2,"[0.12977193314314495, -0.15526865140080648]"
0,3,"[np.float64(0.16722639207498133), np.float64(-0.15730388033798431)]"
1,0,"[np.float64(-0.09095032479542024), np.float64(0.36510841769618474)]"
1,1,"[-0.04307321222573497, 0.2494930972983304]"
1,2,"[-0.07206765526403035, 0.28859820458919455]"
1,3,"[np.float64(-0.08029213438271543), np.float64(0.3061699792774302)]"
2,0,"[np.float64(0.19714609145561066), np.float64(0.06683834991523088)]"
2,1,"[0.15836003675284077, 0.1175730715211226]"
2,2,"[0.16702445370615732, 0.11884860623203303]"
2,3,"[0.18103115315062945, 0.10905052997169304]"
3,0,"[np.float64(0.4689131590166181), np.float64(0.13250730646526265)]"
3,1,"[0.28186886941351974, 0.07065575827307917]"
3,2,"[0.35932733307327214, 0.08982568108205508]"
3,3,"[np.float64(0.4543472265591329), np.float64(0.11351242928801669)]"
4,0,"[np.float64(-0.06500451281148942), np.float64(-0.006442153123172256)]"
4,1,"[0.16113807460861929, 0.19744507889826468]"
4,2,"[0.07405465079336579, 0.1537378516712314]"
4,3,"[np.float64(-0.05859223861167693), np.float64(0.0825793757770912)]"
5,0,"[np.float64(-0.10800432481487715), np.float64(0.12069012187899933)]"
5,1,"[0.12195929160663099, 0.1456265651635275]"
5,2,"[-0.034967530245761665, 0.12185811695567418]"
5,3,"[np.float64(-0.11655588718688345), np.float64(0.11597898882815863)]"
6,0,"[np.float64(-0.058945587894317614), np.float64(-0.42892484767222444)]"
6,1,"[-0.037564884285596595, -0.4437065030310404]"
6,2,"[-0.05309437866975694, -0.42967575732289426]"
6,3,"[np.float64(-0.06796628751872591), np.float64(-0.4270301956479459)]"
7,0,"[np.float64(0.024488093534205994), np.float64(0.1420575289466071)]"
7,1,"[-0.0019142248166421597, 0.0689298869658887]"
7,2,"[0.021203892314082713, 0.13449297138694624]"
7,3,"[np.float64(0.03637379869210221), np.float64(0.15880915745513283)]"
8,0,"[np.float64(0.14090627138882755), np.float64(-0.3200963104919645)]"
8,1,"[0.18964338772030867, -0.3584628318254369]"
8,2,"[0.1507302855078311, -0.32781068263773816]"
8,3,"[np.float64(0.1403990009445252), np.float64(-0.3182810430589731)]"
9,0,"[np.float64(0.14124649551553847), np.float64(-0.05259843042695851)]"
9,1,"[0.2106924172390598, -0.10571169807904181]"
9,2,"[0.14442107392107517, -0.058781136514770675]"
9,3,"[np.float64(0.12033435270801163), np.float64(-0.03792947180492788)]"
10,0,"[np.float64(-0.16189319834991747), np.float64(-0.3835225528504363)]"
10,1,"[-0.10337483581536425, -0.403615107119928]"
10,2,"[-0.17640423444526, -0.38964577396485833]"
10,3,"[np.float64(-0.18601852726015888), np.float64(-0.3833106634790181)]"
11,0,"[np.float64(-0.09334452864275042), np.float64(-0.038755954843297934)]"
11,1,"[-0.012251632066753393, 0.04968565950966265]"
11,2,"[-0.03230757998620065, -0.038142927156120644]"
11,3,"[np.float64(-0.07550299365470134), np.float64(-0.07875989953044113)]"
12,0,"[np.float64(0.09506483479941302), np.float64(0.12767579139131505)]"
12,1,"[0.16315134025195893, 0.08617438686973183]"
12,2,"[0.10858055478865196, 0.09800681888906432]"
12,3,"[np.float64(0.08174684418976952), np.float64(0.11164422283637129)]"
13,0,"[np.float64(-0.04655653684383014), np.float64(-0.031556868565147986)]"
13,1,"[-0.09715996352212297, 0.04433874073405365]"
13,2,"[-0.04448730770423157, -0.020323666342267933]"
13,3,"[np.float64(-0.031532688071266815), np.float64(-0.039327411021202234)]"
14,0,"[np.float64(0.06974088450644395), np.float64(-0.043991349790877654)]"
14,1,"[0.15876888688815352, -0.058530567131789196]"
14,2,"[0.10809614194574073, -0.04322750202618968]"
14,3,"[np.float64(0.06988166438717372), np.float64(-0.04167774182626207)]"
15,0,"[np.float64(0.19140785209059788), np.float64(-0.2122621433846609)]"
15,1,"[0.19754258597289862, -0.2125057736828438]"
15,2,"[0.19390868640267644, -0.21235049925955024]"
15,3,"[np.float64(0.19104259702863152), np.float64(-0.21226035986719544)]"
16,0,"[np.float64(-0.0071379151736757004), np.float64(0.19827776705522066)]"
16,1,"[0.0793724634462558, 0.22116720000668405]"
16,2,"[0.06623184297094231, 0.20227111364087988]"
16,3,"[np.float64(0.021417766085315544), np.float64(0.19088898958733008)]"
17,0,"[np.float64(0.19110599276875603), np.float64(-0.0832433592800658)]"
17,1,"[0.22086490219171495, -0.11284290357220819]"
17,2,"[0.22173398632953495, -0.11245393241700065]"
17,3,"[np.float64(0.20637345177862826), np.float64(-0.07622611248977702)]"
18,0,"[np.float64(-0.029032734468295747), np.float64(-0.10441246916247772)]"
18,1,"[-0.11701659913845892, 0.08500960031441987]"
18,2,"[-0.036019779027617785, -0.030130038953916652]"
18,3,"[np.float64(-0.01818391054780004), np.float64(-0.0992698221915268)]"
19,0,"[np.float64(0.3004547041075147), np.float64(-0.1469786563664637)]"
19,1,"[0.32826151999982517, -0.03253268875943789]"
19,2,"[0.3037277728351343, -0.11525022623729042]"
19,3,"[np.float64(0.29760175134086264), np.float64(-0.1519806506618871)]"
20,0,"[np.float64(-0.2233767554220566), np.float64(0.021725506491762137)]"
