context,p_value,agent,satisfaction
0,0,84.0,0.21026848033528978
0,0,79.0,0.4603732911220621
0,0,91.0,0.03222684087327052
0,0,80.0,0.3338169202103602
0,1,84.0,0.49115594647583904
0,1,79.0,0.17948582498151283
0,1,91.0,0.3131143070138198
0,1,80.0,0.05292945406981092
0,2,84.0,0.38947392418059323
0,2,79.0,0.28116784727675864
0,2,91.0,0.21143228471857395
0,2,80.0,0.15461147636505673
0,3,84.0,0.21661696758848933
0,3,79.0,0.45402480386886257
0,3,91.0,0.038575328126470076
0,3,80.0,0.32746843295716066
1,0,84.0,0.16609686790561715
1,0,79.0,0.022459026470207283
1,0,91.0,0.12345471141901887
1,0,80.0,0.3117702151580334
1,1,84.0,0.06431695659594092
1,1,79.0,0.12423893777988351
1,1,91.0,0.2252346227286951
1,1,80.0,0.4135501264677096
1,2,84.0,0.1364743979942302
1,2,79.0,0.05208149638159423
1,2,91.0,0.15307718133040582
1,2,80.0,0.34139268506942033
1,3,84.0,0.17953926385002253
1,3,79.0,0.0090166305258019
1,3,91.0,0.11001231547461349
1,3,80.0,0.29832781921362794
2,0,84.0,0.2577126361530837
2,0,79.0,0.02693864186509687
2,0,91.0,0.7864560372390477
2,0,80.0,0.008788210235907506
2,1,84.0,0.1635146408236252
2,1,79.0,0.12113663719455534
2,1,91.0,0.8806540325685062
2,1,80.0,0.10298620556536597
2,2,84.0,0.18265006214543075
2,2,79.0,0.1020012158727498
2,2,91.0,0.8615186112467006
2,2,80.0,0.08385078424356043
2,3,84.0,0.297189315811478
2,3,79.0,0.012538037793297457
2,3,91.0,0.7469793575806534
2,3,80.0,0.03068846942248682
3,0,28.0,0.11553513899174572
3,0,14.0,0.30477215974896643
3,0,29.0,0.758007757999918
3,0,61.0,0.25469603399602786
3,1,28.0,0.1525123273468176
3,1,14.0,0.3417493481040383
3,1,29.0,0.7210305696448462
3,1,61.0,0.2916732223510997
3,2,28.0,0.10865419061004283
3,2,14.0,0.2978912113672635
3,2,29.0,0.764888706381621
3,2,61.0,0.24781508561432494
3,3,28.0,0.10704404991996595
3,3,14.0,0.2962810706771866
3,3,29.0,0.7664988470716978
3,3,61.0,0.24620494492424805
4,0,28.0,0.3369695857773069
4,0,14.0,0.3693219267401409
4,0,29.0,1.0175356006901815
4,0,61.0,0.3694874316117128
4,1,28.0,0.21328369572504108
4,1,14.0,0.49300781679240674
4,1,29.0,1.1412214907424474
4,1,61.0,0.245801541559447
4,2,28.0,0.2601084261326627
4,2,14.0,0.4461830863847851
4,2,29.0,1.0943967603348257
4,2,61.0,0.29262627196706864
4,3,28.0,0.3172979719088496
4,3,14.0,0.3889935406085982
4,3,29.0,1.0372072145586388
4,3,61.0,0.34981581774325554
5,0,28.0,0.02671688849943582
5,0,14.0,0.16739271595253735
5,0,29.0,0.30744734313783634
5,0,61.0,0.2728323664718123
5,1,28.0,0.18731339600870447
5,1,14.0,0.32798922346180603
5,1,29.0,0.14685083562856768
5,1,61.0,0.11223585896254365
5,2,28.0,0.024579348538963264
5,2,14.0,0.11609647891413827
5,2,29.0,0.3587435801762354
5,2,61.0,0.3241286035102114
5,3,28.0,0.02671688849943582
5,3,14.0,0.16739271595253735
5,3,29.0,0.30744734313783634
5,3,61.0,0.2728323664718123
6,0,9.0,0.33950671114374514
6,0,50.0,0.617226088579061
6,0,23.0,0.02533914616891325
6,0,71.0,0.3220711403247387
6,1,9.0,0.38282073609428136
6,1,50.0,0.6605401135295972
6,1,23.0,0.01797487878162296
6,1,71.0,0.3653851652752749
6,2,9.0,0.3385060573098901
6,2,50.0,0.616225434745206
6,2,23.0,0.02633980000276831
6,2,71.0,0.32107048649088366
6,3,9.0,0.3385060573098901
6,3,50.0,0.616225434745206
6,3,23.0,0.02633980000276831
