0,0,[0.    0.664 0.336 0.   ]
0,1,"[0.0, 0.6674540402449816, 0.3325459597550184, 0.0]"
0,2,"[0.0, 0.6646217930608226, 0.3353782069391773, 0.0]"
0,3,[0.    0.664 0.336 0.   ]
1,0,[0.     0.6078 0.3922 0.    ]
1,1,"[0.0, 0.6392149741881623, 0.3607850258118377, 0.0]"
1,2,"[0.0, 0.6110495779448044, 0.3889504220551956, 0.0]"
1,3,[0.     0.5967 0.4033 0.    ]
2,0,[0.     0.3393 0.6607 0.    ]
2,1,"[0.0, 0.35372644511719575, 0.6462735548828042, 0.0]"
2,2,"[0.0, 0.34650276369527894, 0.6534972363047211, 0.0]"
2,3,[0.     0.3393 0.6607 0.    ]
3,0,[0.     0.3841 0.6159 0.    ]
3,1,"[0.0, 0.42379293354260383, 0.576207066457396, 0.0]"
3,2,"[0.0, 0.39387191821473466, 0.6061280817852653, 0.0]"
3,3,"[0.0, 0.3907131731431526, 0.6092868268568473, 0.0]"
4,0,[0.    0.155 0.845 0.   ]
4,1,"[0.0, 0.14855730757932875, 0.8514426924206713, 0.0]"
4,2,"[0.0, 0.15391933900100666, 0.8460806609989934, 0.0]"
4,3,[0.     0.1558 0.8442 0.    ]
5,0,[0.     0.7426 0.2574 0.    ]
5,1,"[0.0, 0.7454843785068158, 0.25451562149318413, 0.0]"
5,2,[0.     0.7426 0.2574 0.    ]
5,3,[0.     0.7426 0.2574 0.    ]
6,0,[0.     0.6222 0.3778 0.    ]
6,1,"[0.0, 0.6386253917623629, 0.3613746082376371, 0.0]"
6,2,"[0.0, 0.624635978407081, 0.37536402159291904, 0.0]"
6,3,"[0.0, 0.624635978407081, 0.37536402159291904, 0.0]"
7,0,[0.     0.3433 0.6567 0.    ]
7,1,"[0.0, 0.3243815281508461, 0.6756184718491539, 0.0]"
7,2,"[0.0, 0.33669178412104006, 0.6633082158789599, 0.0]"
7,3,[0.     0.3452 0.6548 0.    ]
8,0,[0.     0.5762 0.4238 0.    ]
8,1,"[0.0, 0.511819784662201, 0.48818021533779904, 0.0]"
8,2,"[0.0, 0.5548518763532132, 0.44514812364678674, 0.0]"
