context,p,decision
0,0,"[np.float64(-0.1518677878655491), np.float64(0.5486060387283576)]"
0,1,"[0.12901967827500016, 0.542212682490584]"
0,2,"[0.027337655979754336, 0.5482603596650385]"
0,3,"[np.float64(-0.14551930061234955), np.float64(0.5504595809166636)]"
1,0,"[np.float64(0.1250187736563866), np.float64(-0.10010045093282628)]"
1,1,"[0.22679868496606284, 0.19485135609290377]"
1,2,"[0.15464124356777356, 0.0624998111424956]"
1,3,"[np.float64(0.11157637771198123), np.float64(-0.020875954244031422)]"
2,0,"[np.float64(-0.12026559995553288), np.float64(-0.21535769018277306)]"
2,1,"[-0.026067604626074416, -0.21161981936329854]"
2,2,"[-0.04520302594787995, -0.22355775679830067]"
2,3,"[np.float64(-0.1597422796139272), np.float64(-0.2059531681563446)]"
3,0,"[np.float64(-0.032965725052813054), np.float64(-0.44364624133775543)]"
3,1,"[0.004011463302258809, -0.12245405397841991]"
3,2,"[-0.03984667343451595, -0.23897399668223954]"
3,3,"[-0.04145681412459283, -0.2607878167790484]"
4,0,"[np.float64(-0.05090097838938355), np.float64(0.12025076050605875)]"
4,1,"[-0.1745868684416494, 0.21187094033261464]"
4,2,"[-0.12776213803402775, 0.12902722430894875]"
4,3,"[np.float64(-0.07057259225784085), np.float64(0.11151351876940294)]"
5,0,"[np.float64(0.25277913997378515), np.float64(0.38684156207285697)]"
5,1,"[0.0921826324645165, 0.37912703553699023]"
5,2,"[np.float64(0.30407537701218423), np.float64(0.3881545190494006)]"
5,3,"[np.float64(0.25277913997378515), np.float64(0.38684156207285697)]"
6,0,"[np.float64(-0.28138729190942796), np.float64(0.10970058579802419)]"
6,1,"[-0.3247013168599642, 0.08641474823245285]"
6,2,"[-0.2803866380755729, 0.10963644727326982]"
6,3,"[-0.2803866380755729, 0.10963644727326982]"
7,0,"[np.float64(0.2736820812244326), np.float64(-0.2762448052950332)]"
7,1,"[0.1444237604613644, 0.10172551420598226]"
7,2,"[0.1790348651349099, 0.017674086462479692]"
7,3,"[np.float64(0.2643742418518158), np.float64(-0.23151712232803606)]"
8,0,"[np.float64(-0.23400964374828925), np.float64(-0.12794458267045897)]"
8,1,"[-0.4011452518856165, 0.04672814395330399]"
8,2,"[-0.36309324515511504, -0.01398233191425241]"
8,3,"[np.float64(-0.25503202598956953), np.float64(-0.13002248498847727)]"
9,0,"[np.float64(0.010700057384201406), np.float64(0.32474046120304867)]"
9,1,"[-0.03069442360787572, 0.2640870839878196]"
9,2,"[0.002948447631148876, 0.29655639675987566]"
9,3,"[np.float64(0.013727456569240487), np.float64(0.3364197727894024)]"
10,0,"[np.float64(0.03368809574185849), np.float64(0.20452425149806525)]"
10,1,"[0.19593284909517858, 0.1943633297494189]"
10,2,"[0.08791480682548244, 0.20613024604306168]"
10,3,"[np.float64(0.0757457079678053), np.float64(0.20687935657221185)]"
11,0,"[np.float64(0.01216051832697726), np.float64(-0.16369114902503656)]"
11,1,"[-0.021854562151093458, 0.056978675382776386]"
11,2,"[0.007457594871895554, -0.029471912175692137]"
11,3,"[np.float64(0.013797127808483911), np.float64(-0.08041460084439492)]"
12,0,"[np.float64(-0.20349784641652485), np.float64(0.49986853375637014)]"
12,1,"[-0.12425936149641506, 0.15937811073151364]"
12,2,"[-0.1995811732516805, 0.3525297675057749]"
12,3,"[np.float64(-0.2147330874136574), np.float64(0.44526977342786883)]"
13,0,"[np.float64(-0.0020040423384702355), np.float64(0.12482318549064303)]"
13,1,"[-0.2012056837726637, -0.029728202732323794]"
13,2,"[-0.19973462926454094, -0.021843898016819893]"
13,3,"[np.float64(-0.0020040423384702355), np.float64(0.12482318549064303)]"
14,0,"[np.float64(-0.5081052617615378), np.float64(-0.14404879443537855)]"
14,1,"[-0.551770177865462, -0.08569087316353592]"
14,2,"[-0.521281013139243, -0.1439613667100757]"
14,3,"[np.float64(-0.5102917400180742), np.float64(-0.15099711852475622)]"
15,0,"[np.float64(-0.289892178120337), np.float64(-0.49240373691210254)]"
