context,p,decision
0,0,"[np.float64(0.009745402354847176), np.float64(-0.09344092646091705)]"
0,1,"[-0.024692391319748395, -0.061823413082692014]"
0,2,"[0.0026311159802153462, -0.06746296626246413]"
0,3,"[np.float64(0.01683527065949247), np.float64(-0.0946098423508652)]"
1,0,"[np.float64(0.15698005918415936), np.float64(-0.024021879988192746)]"
1,1,"[0.04964992458768528, 0.11403960063664638]"
1,2,"[0.10118332587825477, 0.02610044670381049]"
1,3,"[np.float64(0.15821120488005677), np.float64(-0.04572821919801322)]"
2,0,"[np.float64(0.10011388907723515), np.float64(-0.06455149005970597)]"
2,1,"[0.2915190750408609, -0.09210130555602242]"
2,2,"[0.20211827353727405, -0.06808389071676876]"
2,3,"[np.float64(0.10683313278001591), np.float64(-0.06123656314397717)]"
3,0,"[np.float64(0.07872600844630268), np.float64(0.08329936664125723)]"
3,1,"[0.08537585886780809, 0.09882531434845472]"
3,2,"[0.09003865697718691, 0.09354535787658114]"
3,3,"[np.float64(0.0747184065775056), np.float64(0.08198204939663646)]"
4,0,"[np.float64(0.16949483083425704), np.float64(-0.24377373751144835)]"
4,1,"[0.05651409269650212, -0.275261611707]"
4,2,"[0.11489964763911548, -0.2492805895449986]"
4,3,"[np.float64(0.16949483083425704), np.float64(-0.24377373751144835)]"
5,0,"[np.float64(0.18742441735244042), np.float64(0.04361010191595275)]"
5,1,"[0.057211869872246884, 0.031165101460991794]"
5,2,"[0.11504587002353595, 0.00910418482045241]"
5,3,"[np.float64(0.163647312294911), np.float64(0.020998566971731004)]"
6,0,"[np.float64(-0.13130163833943748), np.float64(0.002123097527344686)]"
6,1,"[-0.09482946469551759, -0.0422482679125088]"
6,2,"[-0.13052433919689704, -0.021519697259363972]"
6,3,"[-0.1282618001753335, -0.025424940953396022]"
7,0,"[np.float64(0.1259515758743175), np.float64(-0.07757248846046114)]"
7,1,"[-0.1111367620922758, 0.05068711974062609]"
7,2,"[0.016274807643443412, -0.03882049809363965]"
7,3,"[np.float64(0.08879859346646242), np.float64(-0.08838036953155443)]"
8,0,"[np.float64(-0.14819335427954886), np.float64(-0.01704039856555771)]"
8,1,"[-0.13347719188800505, -0.05498813706838454]"
8,2,"[np.float64(-0.1535797302525442), np.float64(0.0023993550007805975)]"
8,3,"[np.float64(-0.1535797302525442), np.float64(0.0023993550007805975)]"
9,0,"[np.float64(-0.16076006833567968), np.float64(-0.03277698533064227)]"
9,1,"[-0.009016480711493635, -0.022320661197929137]"
9,2,"[np.float64(-0.17036089636075266), np.float64(-0.03398449747165416)]"
9,3,"[np.float64(-0.13462910332331446), np.float64(-0.03360768898135698)]"
10,0,"[np.float64(0.08849435062653813), np.float64(-0.04840557662581238)]"
10,1,"[0.22218545071881088, 0.09562671350676556]"
10,2,"[0.19903736815710424, 0.07788723162947458]"
10,3,"[np.float64(0.0782858476229844), np.float64(-0.06360434575482607)]"
11,0,"[np.float64(0.014369018137947435), np.float64(-0.008182918712698675)]"
11,1,"[0.12077952821122115, 0.007835502813760706]"
11,2,"[0.06238469231865074, 0.024907885975133028]"
11,3,"[np.float64(0.002570137137355502), np.float64(0.0033243586047580487)]"
12,0,"[np.float64(0.15280470065061486), np.float64(0.15042941140888466)]"
12,1,"[0.2276421673086333, -0.028196208932750766]"
12,2,"[0.19579637941437775, 0.009898701232490214]"
12,3,"[np.float64(0.14054396436687722), np.float64(0.11289839705044036)]"
13,0,"[np.float64(-0.09302724763932887), np.float64(-0.08594366158415805)]"
13,1,"[0.13944614955995277, -0.10740187440476147]"
13,2,"[0.021739778993404846, -0.10220176331572929]"
13,3,"[np.float64(-0.03499940190649212), np.float64(-0.10331068227706781)]"
14,0,"[np.float64(-0.17903726289214253), np.float64(-0.11841500342302536)]"
14,1,"[-0.15339611575273032, 0.0896530651909565]"
14,2,"[-0.18126169480592247, -0.05167510838564029]"
14,3,"[np.float64(-0.1853720881181584), np.float64(-0.09687015708306414)]"
15,0,"[np.float64(-0.014951190526510097), np.float64(0.2677567894584953)]"
15,1,"[0.04729590972877008, 0.09584063040928552]"
15,2,"[7.34903143057089e-05, 0.16214248599190567]"
15,3,"[np.float64(-0.022547044299537647), np.float64(0.23036186206437712)]"
16,0,"[np.float64(-0.22558382601582727), np.float64(-0.21949342857744064)]"
16,1,"[0.06963372807176106, -0.21064161752970395]"
16,2,"[-0.08246584862215028, -0.21615162823782053]"
16,3,"[np.float64(-0.14211786247184122), np.float64(-0.21460468283879058)]"
17,0,"[np.float64(0.17225023518968066), np.float64(0.015957966957026296)]"
17,1,"[0.0797032121405929, -0.007658006702765473]"
17,2,"[0.10360653867247291, -0.0026149426087451917]"
17,3,"[np.float64(0.138128534302361), np.float64(0.008464392030592509)]"
18,0,"[np.float64(-0.15741476278586705), np.float64(0.03935222056075384)]"
