context,p_value,agent,satisfaction
0,0,80.0,0.4774974805468747
0,0,20.0,0.08209795068782107
0,0,81.0,0.3281377822744471
0,0,93.0,0.029612369848339926
0,1,80.0,0.4346388604607657
0,1,20.0,0.03923933060171207
0,1,81.0,0.28527916218833815
0,1,93.0,0.01324625023776907
0,2,80.0,0.4518500115165496
0,2,20.0,0.05645048165749596
0,2,81.0,0.302490313244122
0,2,93.0,0.003964900818014816
0,3,80.0,0.489304470448386
0,3,20.0,0.09390494058933234
0,3,81.0,0.3399447721759584
0,3,93.0,0.0414193597498512
1,0,80.0,0.34798485677801777
1,0,20.0,0.14444747244747017
1,0,81.0,0.17476169037411782
1,0,93.0,0.09497322176115557
1,1,80.0,0.30010774420833247
1,1,20.0,0.0965703598777849
1,1,81.0,0.12688457780443255
1,1,93.0,0.047096109191470295
1,2,80.0,0.3291021872466279
1,2,20.0,0.12556480291608027
1,2,81.0,0.15587902084272792
1,2,93.0,0.07609055222976567
1,3,80.0,0.33732666636531294
1,3,20.0,0.13378928203476537
1,3,81.0,0.164103499961413
1,3,93.0,0.08431503134845075
2,0,80.0,0.2160647282714908
2,0,20.0,0.2534928310886534
2,0,81.0,0.22414236952116695
2,0,93.0,0.2658198938544516
2,1,80.0,0.17727867356872093
2,1,20.0,0.2147067763858835
2,1,81.0,0.18535631481839707
2,1,93.0,0.22703383915168174
2,2,80.0,0.18594309052203747
2,2,20.0,0.22337119333920005
2,2,81.0,0.1940207317717136
2,2,93.0,0.23569825610499828
2,3,80.0,0.1999497899665096
2,3,20.0,0.2373778927836722
2,3,81.0,0.20802743121618575
2,3,93.0,0.24970495554947042
3,0,27.0,0.20783319583195153
3,0,13.0,0.3892605745151592
3,0,10.0,0.6703315392249071
3,0,90.0,0.3562618185335874
3,1,27.0,0.020788906228853155
3,1,13.0,0.20221628491206084
3,1,10.0,0.4832872496218087
3,1,90.0,0.16921752893048905
3,2,27.0,0.09824736988860555
3,2,13.0,0.27967474857181324
3,2,10.0,0.5607457132815611
3,2,90.0,0.24667599259024145
3,3,27.0,0.1932672633744663
3,3,13.0,0.374694642057674
3,3,10.0,0.6557656067674219
3,3,90.0,0.34169588607610224
4,0,27.0,0.14856290106870929
4,0,13.0,0.21306418698114807
4,0,10.0,0.2752690127661199
4,0,90.0,0.11992994939792478
4,1,27.0,0.374705488488818
4,1,13.0,0.013078400438960636
4,1,10.0,0.04912642534601119
4,1,90.0,0.10621263802218392
4,2,27.0,0.2876220646735645
4,2,13.0,0.07400502337629286
4,2,10.0,0.1362098491612647
4,2,90.0,0.019129214206930416
4,3,27.0,0.15497517526852178
