0,0,[ 0.0649  0.2411 -0.0473 -0.4395]
0,1,"[0.06081640207074931, 0.18540370257943115, -0.11661980939710372, -0.32760836361686996]"
0,2,"[0.0634923329216551, 0.23008791471039552, -0.06081906343962077, -0.3776713014395954]"
0,3,[ 0.0662  0.2519 -0.034  -0.4515]
1,0,[ 0.1652 -0.0005  0.1493 -0.0461]
1,1,"[0.09960499325083731, 0.090118125149464, -0.00039052447323809433, 0.1380019613662482]"
1,2,"[0.1512608994552626, 0.061657133752127405, 0.05363387354708854, -0.007661192990218007]"
1,3,[ 0.182   0.0066  0.1361 -0.0942]
2,0,[-0.1904 -0.2743  0.3513  0.1168]
2,1,"[0.08621104586973248, -0.2626951693341499, 0.47774979853871197, 0.06264090693296762]"
2,2,"[-0.009938411057458173, -0.27349882705538037, 0.38760216618869237, 0.11159053017519795]"
2,3,[-0.1389 -0.2752  0.3173  0.122 ]
3,0,[ 0.2969 -0.1021 -0.1786  0.302 ]
3,1,"[0.328538967762234, -0.10636035144396375, -0.19265841026993194, 0.3334359297724599]"
3,2,"[0.3278440519130971, -0.10564627377746193, -0.18606326947186777, 0.3248151036577221]"
3,3,[ 0.2887 -0.1015 -0.1777  0.2985]
4,0,[ 0.3525 -0.4616  0.0648 -0.1192]
4,1,"[-0.02222835540967022, -0.05612119005342, 0.10439715079354023, -0.4085202770624308]"
4,2,"[0.1998865238441413, -0.2528538250813287, 0.06483207278407513, -0.24717552055460168]"
4,3,[ 0.3525 -0.4616  0.0648 -0.1192]
5,0,[ 0.1021 -0.0462  0.2682  0.1285]
5,1,"[0.002671713705127787, 0.09784790515647765, 0.11234680488253908, -0.03624490075442516]"
5,2,"[0.04594033697021301, -0.02535798344074443, 0.1813015929293901, 0.04214518414661254]"
5,3,[ 0.0855 -0.0667  0.2367  0.103 ]
6,0,[-0.1392 -0.1392 -0.1193  0.2157]
6,1,"[-0.16042222650512297, -0.11637693758074585, -0.02378130736828681, 0.03804573465342635]"
6,2,"[-0.1392128960937063, -0.13917263891980602, -0.11934214983260022, 0.12989986395646622]"
6,3,"[-0.14220741229663567, -0.13866132300233924, -0.11061194967059274, 0.11788932861592995]"
7,0,[-0.1025  0.2419  0.3257 -0.357 ]
7,1,"[-0.4789397951346749, 0.2520987112482047, 0.3274819887965421, -0.18950366920101674]"
7,2,"[-0.29606072182226134, 0.2426043060387736, 0.32577488067259514, -0.31769046072707907]"
7,3,[-0.1752  0.2393  0.3256 -0.3823]
8,0,[-0.0348 -0.0641 -0.2542  0.027 ]
8,1,"[-0.03561121179915053, -0.15654342087598136, -0.22502169974976682, 0.040007370752486546]"
8,2,[-0.0347 -0.0158 -0.2647  0.0194]
8,3,[-0.0347 -0.0158 -0.2647  0.0194]
9,0,[-0.1774  0.1886 -0.1383 -0.3323]
9,1,"[-0.1255693812728071, 0.1910477939179136, 0.15037050101076865, -0.31410365322879624]"
9,2,[-0.1834  0.1882 -0.1528 -0.3345]
9,3,[-0.1716  0.1884 -0.0847 -0.3332]
10,0,[-0.0602  0.2877  0.2366 -0.3832]
10,1,"[-0.05100946783612058, 0.32757012753301107, 0.4846426876761375, -0.12720037236210072]"
10,2,"[-0.05132114699310848, 0.3175187978613021, 0.44498037135540386, -0.15751801122718256]"
10,3,[-0.0673  0.2695  0.2233 -0.3955]
11,0,[-0.1119 -0.118   0.1128  0.0774]
11,1,"[-0.03105446946507918, -0.19479623045147298, 0.2399926859222243, 0.16693273495344227]"
11,2,"[-0.07026221184831281, -0.1409633414927892, 0.1660013180814113, 0.15447756579004987]"
11,3,[-0.1225 -0.1128  0.1     0.0938]
12,0,[0.0944 0.0775 0.2079 0.2193]
12,1,"[0.09945819681140329, -0.06995547265042222, 0.3561559282462236, 0.013670492601967172]"
12,2,"[0.09812173115230834, -0.04296498029713779, 0.2899424829909606, 0.06085265627898676]"
12,3,[0.0933 0.0343 0.185  0.1868]
13,0,[-0.4928  0.0177  0.3751 -0.2073]
13,1,"[-0.08923186011305914, 0.22393176832556513, 0.397275136202352, -0.48097263211709257]"
13,2,"[-0.28487549285927743, 0.11791765063140808, 0.3763261817813435, -0.3567597007064198]"
13,3,[-0.383   0.0614  0.3715 -0.2957]
