0,0,[-0.1443  0.312  -0.0154 -0.0388]
0,1,[-0.0939  0.2774  0.1144 -0.0266]
0,2,[-0.1443  0.312  -0.0154 -0.0388]
0,3,[-0.158   0.3151 -0.0311 -0.0405]
1,0,[-0.1635  0.2923  0.1676 -0.1413]
1,1,[-0.0151  0.3207  0.1128 -0.3171]
1,2,[-0.1456  0.2942  0.1637 -0.2067]
1,3,[-0.1979  0.2888  0.1751 -0.1403]
2,0,[-0.4772 -0.1996 -0.1092  0.0333]
2,1,[-0.2242 -0.1405 -0.2182 -0.2131]
2,2,[-0.3575 -0.1726 -0.1092 -0.0839]
2,3,[-0.4772 -0.1996 -0.1092  0.0333]
3,0,[ 0.063  -0.0977  0.2058  0.1311]
3,1,[ 0.0664 -0.0797  0.1106 -0.3546]
3,2,[ 0.063  -0.0977  0.2058 -0.1118]
3,3,[ 0.0627 -0.0993  0.2251  0.0133]
4,0,[ 0.0971  0.322  -0.3103  0.5919]
4,1,[0.0525 0.3734 0.1725 0.1281]
4,2,[ 0.0962  0.3246 -0.0534  0.3544]
4,3,[ 0.1007  0.3117 -0.2216  0.5142]
5,0,[ 0.2378 -0.2616  0.1604  0.3222]
5,1,[ 0.2374 -0.1979  0.2914  0.3243]
5,2,[ 0.2377 -0.2544  0.1711  0.3223]
5,3,[ 0.2378 -0.2926  0.1155  0.3221]
6,0,[ 0.0083 -0.6257  0.355   0.2275]
6,1,[-0.0175 -0.625   0.1992  0.043 ]
6,2,[-0.0062 -0.6256  0.3072  0.1358]
6,3,[ 0.0268 -0.6258  0.4187  0.242 ]
7,0,[-0.2017  0.3975  0.1076  0.0359]
7,1,[-0.3076  0.0158 -0.1061  0.3053]
7,2,[-0.3074  0.016  -0.1061  0.3053]
7,3,[-0.1751  0.3476  0.0878  0.0603]
8,0,[ 0.0768 -0.2745 -0.1771 -0.1127]
8,1,[ 0.026  -0.3897 -0.3364 -0.1056]
8,2,[ 0.0687 -0.3081 -0.2697 -0.1116]
8,3,[ 0.0828 -0.2504 -0.2065 -0.1135]
9,0,[0.4315 0.2597 0.0858 0.3106]
9,1,[0.4471 0.329  0.172  0.5323]
9,2,[0.4471 0.3266 0.1676 0.5292]
9,3,[0.4311 0.2465 0.0697 0.3724]
10,0,[ 0.0725  0.0986  0.0201 -0.1068]
10,1,[-0.1674  0.5094  0.1466 -0.0401]
10,2,[-0.0769  0.3773  0.0984 -0.0864]
10,3,[ 0.0526  0.2064  0.0239 -0.1232]
11,0,[ 0.0002  0.0884 -0.0708  0.2136]
11,1,[ 0.1245  0.3921 -0.201   0.2978]
11,2,[ 0.0725  0.2929 -0.1173  0.2296]
11,3,[ 0.0118  0.1678 -0.0474  0.2056]
12,0,[ 0.0274 -0.5429 -0.0667 -0.1345]
12,1,[ 0.0003 -0.5649  0.0274 -0.0973]
12,2,[ 0.0274 -0.5429 -0.0616 -0.1345]
12,3,[ 0.0348 -0.5302 -0.1066 -0.1419]
13,0,[ 0.4285 -0.0867 -0.1125  0.0561]
13,1,[ 0.5168 -0.1737 -0.1651  0.1048]
13,2,[ 0.4285 -0.0867 -0.1125  0.0561]
13,3,[ 0.4156 -0.0744 -0.1     0.0479]
14,0,[-0.2928  0.0417 -0.2284 -0.1934]
14,1,[-0.3393  0.0788 -0.182  -0.3016]
14,2,[-0.2928  0.06   -0.2284 -0.1934]
14,3,[-0.2928  0.0417 -0.2284 -0.1934]
15,0,[-0.0619  0.1462  0.0742 -0.1746]
15,1,[ 0.1315  0.0258  0.1984 -0.2526]
15,2,[ 0.0156  0.0962  0.0958 -0.2179]
15,3,[-0.051   0.1396  0.0448 -0.1881]
16,0,[0.2721 0.6565 0.2191 0.3754]
16,1,[0.1769 0.6475 0.4191 0.5091]
16,2,[0.2693 0.656  0.3055 0.385 ]
16,3,[0.2805 0.6579 0.2502 0.3491]
17,0,[-0.0356  0.0116  0.2264 -0.6377]
17,1,[-0.3294  0.0044  0.2803 -0.2997]
17,2,[-0.1642  0.0114  0.2281 -0.4932]
17,3,[-0.0593  0.0122  0.2201 -0.6115]
18,0,[0.3132 0.1863 0.01   0.2949]
18,1,[ 0.3238  0.1551 -0.1749 -0.1985]
18,2,[ 0.3203  0.162  -0.1174 -0.1143]
18,3,[0.3085 0.2034 0.1062 0.2911]
19,0,[-0.0483 -0.2897  0.0593  0.1375]
19,1,[-0.0758 -0.3352  0.0833  0.0354]
19,2,[-0.0505 -0.2907  0.0604  0.1342]
19,3,[-0.0421 -0.2868  0.056   0.1473]
20,0,[0.0243 0.2985 0.3094 0.2809]
20,1,[0.0414 0.352  0.1225 0.2281]
20,2,[0.0358 0.3443 0.148  0.2354]
20,3,[0.0217 0.281  0.3716 0.2966]
21,0,[-0.3475  0.2333 -0.2987 -0.5776]
21,1,[-0.3394  0.2097 -0.1923 -0.5442]
21,2,[-0.3404  0.2145 -0.1962 -0.5567]
21,3,[-0.3492  0.2373 -0.281  -0.5816]
22,0,[-0.0404 -0.1837  0.1052  0.1799]
22,1,[ 0.0706 -0.4614  0.0278  0.2365]
22,2,[-0.0301 -0.3347  0.1004  0.1843]
22,3,[-0.0602 -0.2817  0.1148  0.1719]
23,0,[-0.323   0.2918  0.2897  0.5328]
23,1,[-0.1358  0.4229  0.1481  0.6051]
23,2,[-0.2283  0.3205  0.2838  0.5538]
23,3,[-0.3071  0.2785  0.3129  0.525 ]
24,0,[-0.0931 -0.2666 -0.1958  0.0368]
24,1,[-0.0748 -0.2671 -0.2106  0.0236]
24,2,[-0.0899 -0.2666 -0.1988  0.0353]
24,3,[-0.0883 -0.2666 -0.2003  0.0345]
25,0,[ 0.0738  0.5365  0.2415 -0.3203]
25,1,[ 0.047   0.3816  0.3418 -0.2907]
25,2,[ 0.0726  0.4749  0.2694 -0.3191]
25,3,[ 0.0763  0.5085  0.2397 -0.3226]
