0,0,[-0.2739  0.7798  0.0892  0.0917]
0,1,"[0.1980719701478062, 0.7671315828557194, -0.00957539361411053, 0.09077725116926695]"
0,2,"[-4.503758503139564e-5, 0.7786505401081866, 0.08160216845943212, 0.0916942153493433]"
0,3,[-0.2738  0.7825  0.1079  0.0918]
1,0,[ 0.3327 -0.3471 -0.1968  0.2828]
1,1,"[0.38186619348833134, 0.20449556711159297, -0.04793963942653516, 0.17776438280873064]"
1,2,"[0.3373851767547211, -0.059551860001408496, -0.13245345260409858, 0.2542456427728239]"
1,3,[ 0.3157 -0.2339 -0.1903  0.2943]
2,0,[ 0.1318 -0.028  -0.2497 -0.3116]
2,1,"[0.052068634528709176, 0.02971267542585096, -0.0688340986319458, -0.34370890892616995]"
2,2,"[0.05738081622744546, 0.0013076242832464348, -0.09959588769160722, -0.34278775759330976]"
2,3,[ 0.1737 -0.0382 -0.331  -0.2921]
3,0,[ 0.0712 -0.5683 -0.0979 -0.3659]
3,1,"[0.010459959430777955, -0.3731834987715937, -0.0007313231894881012, 0.061954248383599]"
3,2,"[0.022353467985346837, -0.46504137049880967, -0.08026534029797999, -0.09207172825633121]"
3,3,"[0.0281013663258648, -0.48180775326991665, -0.08606191012192949, -0.11905588215027875]"
4,0,[ 0.4305  0.1552 -0.1392  0.1138]
4,1,"[0.06493272693623037, 0.19566612844583808, -0.21637756853053794, 0.21469830997846232]"
4,2,"[0.1928814789289185, 0.16518540571206947, -0.18609375563601352, 0.12244931319764223]"
4,3,[ 0.3385  0.1455 -0.1461  0.1052]
5,0,[0.135  0.4165 0.5925 0.3012]
5,1,"[0.029335043373675745, 0.41499581725461465, 0.2762652267633181, 0.27406622909342204]"
5,2,[0.2045 0.4169 0.5916 0.3052]
5,3,[0.135  0.4165 0.5925 0.3012]
6,0,[-0.1288  0.0999 -0.5326  0.1258]
6,1,"[-0.20214091631392742, 0.09892610840379255, -0.5412914757396246, 0.06430452767803131]"
6,2,"[-0.12880433051278886, 0.09992053428017698, -0.5326318122184663, 0.1258045093928203]"
6,3,"[-0.12880433051278886, 0.09992053428017698, -0.5326318122184663, 0.1258045093928203]"
7,0,[ 0.5739 -0.2693  0.1167 -0.2799]
7,1,"[0.1970767595964117, -0.10099388257468152, 0.11914372293603576, 0.19905622740207052]"
7,2,"[0.297110131714577, -0.1441036263457739, 0.11910047684666049, 0.09979160807986856]"
7,3,[ 0.5473 -0.2843  0.1152 -0.2037]
8,0,[-0.7103 -0.6031  0.4135  0.5181]
8,1,"[-0.7124955877164598, -0.40405527428768045, -0.07471813166899839, 0.5193402343341967]"
8,2,"[-0.7105919409567552, -0.44149251347787777, 0.07004416047129686, 0.5188848504910724]"
8,3,[-0.7101 -0.5844  0.3936  0.5177]
9,0,[ 0.1952  0.3466 -0.3272  0.2847]
9,1,"[0.12452297478496319, 0.2626254395309461, -0.32509701209051606, 0.2668594014986169]"
9,2,"[0.18131162808338736, 0.30946281901059874, -0.3269171336765197, 0.2726872076842917]"
9,3,[ 0.2004  0.3619 -0.3273  0.2899]
10,0,[-0.2202  0.197   0.5761  0.2206]
10,1,"[-0.09943244812585073, 0.20538369267064288, 0.5047492288624763, 0.18284109401937845]"
10,2,"[-0.22017146794673065, 0.1970058704948299, 0.5761215782650111, 0.22058912426182542]"
10,3,[-0.2255  0.1961  0.579   0.2249]
11,0,[-0.1486  0.0212  0.1452 -0.3167]
11,1,"[-0.11148752656700739, -0.0665722632866793, 0.06828774476937374, 0.1812316966504356]"
11,2,"[-0.1486158849230181, 0.02123859254660565, 0.14522785360816853, -0.07423543872368957]"
11,3,[-0.1545  0.028   0.1545 -0.1711]
12,0,[ 0.1247  0.4707 -0.2907  0.5076]
12,1,"[0.1980219516844964, 0.12798702104700654, -0.221079853979961, 0.1688086940093689]"
12,2,"[0.13009720878848857, 0.3384578120137795, -0.2880463888025088, 0.35630580695403136]"
12,3,[ 0.1091  0.4324 -0.2985  0.4486]
13,0,[ 0.1952  0.3332 -0.221  -0.1066]
13,1,"[0.07725764656024751, 0.15908124890694672, -0.517678939661212, -0.2443099282017947]"
13,2,"[0.07769114394369664, 0.17052865379293328, -0.513459699381558, -0.23938710464529578]"
13,3,[ 0.1952  0.3332 -0.221  -0.1066]
14,0,[-0.3114  0.2731 -0.6483 -0.4414]
14,1,"[-0.3307683150405901, 0.2926572881842885, -0.6519420390533709, -0.25718191407511276]"
14,2,"[-0.31144852972675785, 0.2730712411230018, -0.6483024842863332, -0.396410818300149]"
14,3,[-0.3103  0.2713 -0.6475 -0.4406]
15,0,[-0.3355 -0.226  -0.2653 -0.6361]
15,1,"[-0.39287744259590784, 0.2384807176025387, -0.29921370050675067, -0.6279050188189554]"
15,2,"[-0.37501114949268094, 0.186391563870397, -0.28297638027234645, -0.6332111707505406]"
15,3,[-0.3292 -0.0838 -0.2629 -0.6365]
16,0,[ 0.4354 -0.3143  0.1334  0.0132]
16,1,"[0.40047387220086833, -0.3128431816829581, 0.15384116951932164, 0.0026984255569046604]"
16,2,"[0.43543130337323127, -0.3142690453422973, 0.13341940555001064, 0.013224532401213518]"
16,3,"[0.4306836577825242, -0.31418061344096554, 0.13480758009030683, 0.012542271653174345]"
17,0,[ 0.0917 -0.1481  0.0048  0.0901]
17,1,"[0.028967421760262096, 0.07189256286332867, 0.032886307337687035, -0.05750081272169547]"
17,2,"[0.0900297158567546, -0.13103921170054458, 0.005598122311084346, 0.08291343238814441]"
17,3,"[0.05819980447427773, 0.023027945297265512, 0.02072158891504364, -0.02100292132407588]"
18,0,[ 0.1856 -0.2145 -0.2873 -0.5091]
18,1,"[0.1920295726135784, -0.14524363023361728, -0.37145846909033187, -0.4527936815391582]"
18,2,"[0.1855573117247415, -0.21447100679634812, -0.2873169004848296, -0.5090622858444445]"
18,3,[ 0.1838 -0.2235 -0.275  -0.5133]
19,0,[0.2429 0.0174 0.2863 0.2379]
