,context,p_value,agent,satisfaction,Cumulative_Satisfaction
0,0,3,35.0,0.6771855729101287,0.6771855729101287
1,1,3,35.0,0.5703771531318991,1.2475627260420277
2,2,3,35.0,0.7188624994647885,1.9664252255068164
3,3,3,35.0,0.4291651202682345,2.3955903457750507
4,4,3,35.0,0.4629043815054027,2.8584947272804535
5,5,3,35.0,0.8133877847695553,3.6718825120500087
6,6,3,35.0,0.6548802286521438,4.3267627407021525
7,7,3,35.0,0.6745056249493605,5.001268365651513
8,8,3,35.0,0.917474735360174,5.918743101011687
9,9,3,35.0,0.520691908671977,6.439435009683664
10,10,3,35.0,0.9160150767056958,7.35545008638936
11,11,3,35.0,0.5218581484650879,7.877308234854448
12,12,3,35.0,0.622180655802084,8.499488890656531
13,13,3,35.0,0.5148866186212951,9.014375509277826
14,14,3,35.0,0.534559740384699,9.548935249662525
15,15,3,35.0,0.6963092315713977,10.245244481233923
16,16,3,35.0,0.7065977462168369,10.951842227450761
17,17,3,35.0,0.6602200748365212,11.612062302287281
18,18,3,35.0,0.4421034578257606,12.054165760113042
19,19,3,35.0,0.4673441087236353,12.521509868836677
20,20,3,35.0,0.5612023596963986,13.082712228533076
21,21,3,35.0,0.5470773009073668,13.629789529440444
22,22,3,35.0,0.560525150985685,14.190314680426129
23,23,3,35.0,0.6290651094355988,14.819379789861728
24,24,3,35.0,0.295533779955648,15.114913569817375
25,25,3,35.0,0.3499139390272208,15.464827508844596
26,26,3,35.0,0.1924240431547805,15.657251551999376
27,27,3,35.0,0.3682207053173163,16.025472257316693
28,28,3,35.0,0.2795583260184248,16.305030583335117
29,29,3,35.0,0.2589676298032912,16.563998213138408
30,30,3,35.0,0.2720611169291526,16.83605933006756
31,31,3,35.0,0.2024573175560501,17.038516647623613
32,32,3,35.0,0.2393245055684245,17.277841153192036
33,33,3,35.0,0.3020661831018112,17.579907336293846
34,34,3,35.0,0.3256283429494438,17.90553567924329
35,35,3,35.0,0.3068527852701612,18.212388464513452
