context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,19.0,0.9465781776622162,0.0,0.0007084195913736
1,78.0,0.8459100191321638,10.0,0.0001873571552568
2,27.0,0.8517492097138768,31.0,0.0020282377331405
3,3.0,0.8561710330731701,26.0,0.0004726511319854
4,21.0,0.8384943798794433,3.0,0.0017519800803844
5,21.0,0.7943149908790781,39.0,0.0006113424068009
6,89.0,1.0251333376906615,16.0,0.0029515745201255
7,0.0,0.9144048642252772,96.0,6.078138312755332e-05
8,42.0,0.8526976126615036,27.0,0.0005751946686133
9,20.0,0.9279956433754688,27.0,0.0005570938895107
10,62.0,0.8667345987411565,86.0,0.000182535090456
11,42.0,0.913652517896424,0.0,0.0010916744180082
12,70.0,0.8592884077304108,4.0,0.0007577677823429
13,78.0,0.8746005371561836,23.0,0.0013179217957364
14,8.0,0.8481251854367122,73.0,0.0002484425115273
15,20.0,0.8971884138152666,44.0,0.0003997725271856
16,30.0,0.8727449403212073,61.0,0.0012812551422575
17,30.0,0.8477759755068814,43.0,0.0004954628962865
18,0.0,0.917079702055677,87.0,9.9907301423785e-06
19,47.0,0.984843205459291,49.0,0.0010288472438034
20,85.0,0.8169853436811203,80.0,0.0013234964562959
21,13.0,0.9576842396901446,36.0,0.0002468298383846
22,58.0,0.932297395715499,96.0,0.0023333784056805
23,27.0,0.9314946014607596,8.0,0.0002595612021154
24,85.0,0.909663759212888,78.0,0.0012128699473875
25,63.0,0.9689259711729268,60.0,7.838205545668275e-05
26,63.0,0.8804884354121018,90.0,0.00032332513354
27,61.0,0.883761466413139,67.0,0.0002639237096392
28,63.0,0.9343221851949012,66.0,0.0004812412566943
29,63.0,0.7804545177133814,68.0,0.0006719785917709
30,63.0,0.9701477952025878,10.0,0.0004907894232817
31,63.0,0.9405575257933166,5.0,0.0003380291094042
32,73.0,0.888507295626221,25.0,0.0006126616714102
33,96.0,0.8834523935802391,90.0,0.0001200921205756
34,44.0,0.8383610736550102,80.0,2.73408567268707e-05
35,32.0,0.9012745385483668,21.0,0.0001588263519647
36,20.0,0.8635899286783291,17.0,0.0002890629577069
37,94.0,0.8234997774645385,0.0,0.0001671849369562
38,32.0,0.8535740606002076,67.0,2.470744449472109e-05
