context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,93.0,1.0733196467273978,86.0,0.0002389688377419
1,79.0,1.1153778609680425,67.0,0.000520121073095
2,4.0,0.8375594421664873,29.0,0.000218363937787
3,69.0,0.8754782876684514,34.0,0.0002015779060111
4,77.0,1.0078501487171223,55.0,0.0012259656106338
5,79.0,0.9621826019451764,73.0,0.0010663979093769
6,85.0,0.8867399254782626,10.0,0.0007313188378983
7,77.0,1.0959856394273464,95.0,0.0020738968974708
8,42.0,0.9599540427131812,95.0,2.2657052419411405e-05
9,76.0,0.9292681417281708,14.0,0.001725646292899
10,48.0,0.8075666718547646,43.0,0.0007434892925504
11,93.0,0.996701862009986,37.0,9.06982903053355e-05
12,69.0,0.9877908266075576,82.0,0.000340398018373
13,21.0,0.8565551749417046,66.0,0.0007449753459952
14,76.0,0.9131360364506866,23.0,0.0002423870243383
15,85.0,0.971321837545044,40.0,0.0010129032959804
16,31.0,0.9823589928863956,87.0,0.0028829023001953
17,87.0,0.9138624716583396,37.0,4.43712385797268e-05
18,5.0,0.9374497550600746,94.0,0.0009337207004386
19,27.0,0.9949116048031376,18.0,0.0001269077280528
20,34.0,0.8994864674262693,9.0,0.002666885691295
21,93.0,0.93042928237844,82.0,0.0032535631256961
22,30.0,0.9037373914623092,75.0,5.979759424551423e-05
23,69.0,1.1358301748920936,93.0,0.0006122833712799
24,18.0,1.018892096597535,30.0,0.0004292630081357
25,45.0,0.795608519183089,53.0,0.0001332568129045
26,45.0,0.8262955855925573,45.0,9.631136047330568e-05
27,8.0,0.8110733639974471,48.0,0.0010280422513284
28,75.0,0.7805871604943471,41.0,0.0001093642587346
29,45.0,0.8391919251225353,43.0,0.0009615223946109
30,24.0,0.7981436947872664,84.0,0.0002011121421089
31,45.0,0.8176741251770618,69.0,3.1216059224098425e-05
32,24.0,0.820873772047154,93.0,1.6477763447320104e-05
33,62.0,0.8574217158730011,2.0,0.0001602136711975
34,73.0,0.9122601215205804,96.0,0.0002317023259445
35,26.0,0.7971614455635154,13.0,8.338620555477239e-05
36,6.0,0.7566988031054344,32.0,1.5142435776757668e-05
37,6.0,0.8050604403671072,90.0,6.801059086507244e-05
38,6.0,0.7988373301116026,19.0,0.0001208037041731
