context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,19.0,0.949867972798332,23.0,0.0013658464248693
1,78.0,0.8404970191951261,84.0,0.0007525603247781
2,27.0,0.8406737019236041,46.0,4.334845577719237e-05
3,3.0,0.8620422240757717,60.0,0.0003390302334706
4,98.0,0.8342496848356366,79.0,0.0005622004638616
5,21.0,0.7867974293619036,74.0,0.0016260656839176
6,89.0,1.0122944538792589,21.0,0.0001773322672185
7,0.0,0.9069377343245716,57.0,0.0009645089097482
8,42.0,0.8384083694441049,88.0,0.0035883567487939
9,20.0,0.9425429310187672,82.0,0.0002598003076674
10,62.0,0.890967769665055,31.0,0.0003687039372417
11,42.0,0.9057975864125704,48.0,0.0006066753327095
12,20.0,0.9954961991719352,36.0,0.0010812330089869
13,70.0,0.9112184990374492,96.0,0.0001551022818993
14,8.0,0.8922039078572539,93.0,0.0001758838142424
15,20.0,0.9175450193881076,19.0,9.947537073848324e-05
16,43.0,0.9519590351045724,59.0,0.0009489422119762
17,90.0,0.8486114344081446,3.0,0.001546230585776
18,98.0,0.8543719905490637,68.0,1.9906080539852652e-05
19,47.0,1.0338846863768996,27.0,0.0005198781981301
20,85.0,0.842244847548369,53.0,6.106543229394273e-05
21,13.0,0.9918770631140096,8.0,5.9427666747572e-05
22,58.0,0.9516296583518092,36.0,0.0004057073558184
23,27.0,0.942806652567162,14.0,0.0004280679594702
24,85.0,0.8938930241781731,53.0,0.0004053033921381
25,63.0,0.9687461439498918,34.0,0.0003416460220308
26,63.0,0.9261518589929616,3.0,0.0001483587999947
27,85.0,0.8672240612728414,64.0,8.697784092525848e-05
28,63.0,0.8861775101999279,66.0,0.000117655568155
29,54.0,0.8097895808051033,19.0,0.0002185999164108
30,63.0,0.9075364432086676,99.0,0.0005828015584068
31,63.0,0.9536254042020464,86.0,0.0003034171498594
32,83.0,0.808353144845276,16.0,0.0002489393258603
33,63.0,0.917578123873106,82.0,0.0003522166354925
34,63.0,0.8775558671015283,46.0,9.204100067142228e-05
35,32.0,0.8557165630973035,90.0,0.0001497874898066
36,28.0,0.7821782039742615,48.0,8.17547264316508e-05
37,94.0,0.8458769086426994,32.0,3.124023662015758e-05
38,32.0,0.8666333486779162,20.0,0.000245791444274
